,mean_head_loss,length,diameter,current_cost,evaluate_flag
L1130,0.0030835122,6.69,0.075,0.0,0
L1371,0.0030720993,79.43,0.11,0.0,0
L3148,0.003067711,16.91,0.15,0.0,0
L1023,0.0030649758,0.95,0.08,0.0,0
L2854,0.0030625009,24.75,0.11,0.0,0
L766,0.0030613677,31.72,0.06,0.0,0
L322,0.003052131,1.71,0.15,177.02000000000004,1
L3078,0.0030467566,14.61,0.063,0.0,0
L212,0.0030330373,0.05,0.032,0.0,0
L609,0.0030315132,29.57,0.063,0.0,0
L316,0.0030309316,52.16,0.15,0.0,1
L2905,0.0030180067,42.87,0.063,0.0,0
L1736,0.0030116881,174.03,0.15,0.0,0
