,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L51,8.009025e-05,2.6782043e-05,0.00011501345,0.00037643488,0.0007021943,9.471818e-05,3.9534643e-06,8.435093e-05,9.739073e-06,2.7270871e-05,4.7613867e-08,5.9214653e-06,6.384216e-07,2.0858133e-06,8.253381e-06,6.36396e-05,1.0222429e-06,1.5852274e-06,1.2326986e-05,8.276547e-06,7.1828254e-08,1.2343866e-05,2.1621818e-05
L552,5.4613392e-06,1.7771381e-06,1.7494822e-06,1.1716329e-06,8.576535e-07,5.402362e-07,1.9819709e-08,2.962308e-06,5.4774137e-07,1.9781874e-07,2.0200969e-07,3.2050593e-08,4.6769856e-08,8.200004e-09,1.7626007e-08,3.9817678e-08,1.2405508e-09,8.8766683e-10,1.09317625e-07,1.0907024e-07,7.3123374e-10,1.1700831e-07,9.074938e-08
L58,2.8264942e-05,5.1138923e-06,0.000105521875,0.0003442648,0.0002829258,0.00021342235,1.4735851e-06,0.00012679002,4.7865324e-06,5.3048134e-06,1.6018748e-07,2.3279572e-06,6.109476e-07,8.211937e-07,3.2163225e-06,0.00021449907,2.2538006e-07,5.4889824e-07,6.6990033e-06,5.2308897e-06,6.449409e-08,6.5850327e-06,1.0108459e-05
L60,7.982482e-05,2.668961e-05,0.00011461391,0.00037518516,0.0006995491,9.2695234e-05,3.934023e-06,8.1565e-05,9.279931e-06,2.6731053e-05,1.314329e-07,5.817041e-06,4.4924673e-07,2.141809e-06,8.052797e-06,6.240432e-05,9.962823e-07,1.591281e-06,1.1638738e-05,7.606228e-06,7.613562e-08,1.1507771e-05,2.0716689e-05
L617,6.571924e-05,0.00038987654,5.176518e-05,1.6672013e-05,7.5865537e-06,4.330708e-06,7.4482523e-07,0.000101362704,2.5782909e-05,3.1115836e-05,4.111603e-05,2.4883891e-05,5.338504e-05,2.2056047e-05,1.0703225e-06,2.7846545e-07,1.7544953e-06,4.2864121e-07,1.1350494e-06,4.3329783e-07,1.8626451e-08,6.246846e-07,2.2411114e-06
L633,3.396254e-05,0.00020508666,3.6220736e-05,2.506416e-05,1.4432182e-05,8.609175e-06,1.9633735e-06,7.649211e-05,2.017789e-05,3.006807e-05,3.5971403e-05,2.3441826e-05,4.6552916e-05,2.3974062e-05,9.3571725e-07,3.896712e-07,2.8257346e-06,1.2511737e-07,1.3091048e-06,8.489442e-07,1.34750735e-08,3.528301e-06,3.3304532e-06
L637,4.462269e-05,0.00020013278,3.2685522e-05,2.7993228e-05,1.6230682e-05,9.463984e-06,2.1740561e-06,7.2444906e-05,1.9228959e-05,3.005704e-05,3.522099e-05,2.3280212e-05,4.5530935e-05,2.4074223e-05,1.2866221e-06,5.20522e-07,3.0169322e-06,7.307972e-08,1.7669227e-06,1.1041702e-06,1.9208528e-08,4.070025e-06,4.306785e-06
L639,5.558756e-05,0.00019354606,2.8961571e-05,3.0502968e-05,1.8128136e-05,1.0583026e-05,2.485991e-06,6.686192e-05,1.798087e-05,3.0023046e-05,3.4212135e-05,2.3087836e-05,4.414888e-05,2.4239009e-05,1.7880811e-06,6.931368e-07,3.2929238e-06,1.2805685e-09,2.3830216e-06,1.4304533e-06,2.73576e-08,4.808535e-06,5.704409e-06
L641,8.569553e-05,0.00017586851,1.992751e-05,3.752415e-06,2.3148954e-05,1.32909045e-05,3.096764e-06,5.6489604e-05,1.5615136e-05,3.0542025e-05,3.2747863e-05,2.2819731e-05,4.1577034e-05,2.4693436e-05,2.8068898e-06,1.0840595e-06,3.856607e-06,1.488952e-07,3.7733698e-06,2.2386666e-06,4.2957254e-08,6.4591877e-06,8.590985e-06
L649,9.3397684e-05,0.00017281715,1.7607119e-05,2.0642765e-06,2.4590758e-05,1.3898942e-05,3.241701e-06,5.4226373e-05,1.5068683e-05,3.0688243e-05,3.242551e-05,2.3037428e-05,4.157552e-05,2.4313456e-05,3.0312221e-06,1.1756783e-06,3.9872248e-06,1.80793e-07,4.0810555e-06,2.4177134e-06,4.6915375e-08,6.827642e-06,9.2186965e-06
L65,4.7392445e-05,1.5563914e-05,6.7007495e-05,0.0002226478,0.00015487598,7.833436e-05,3.6787242e-06,0.00011627015,8.413277e-06,2.5725225e-05,2.7846545e-07,5.570182e-06,5.966285e-08,2.2356398e-06,7.5719436e-06,6.0199818e-05,9.421492e-07,1.5523983e-06,1.02717895e-05,6.322458e-06,8.317875e-08,9.885174e-06,1.8915278e-05
L659,2.7198577e-05,5.9947255e-05,1.4225487e-05,1.0946998e-05,3.7583522e-06,1.08217355e-05,1.932378e-06,4.5467285e-05,2.4987268e-05,2.1579792e-05,2.798345e-05,2.323289e-05,5.3692027e-05,0.0001886097,2.3770845e-06,9.641517e-07,4.36228e-05,5.783979e-06,2.9314542e-06,2.066372e-06,2.8405339e-08,3.107637e-05,9.118463e-06
L709,3.6339276e-05,2.5856774e-05,7.3970295e-07,2.1347194e-05,5.636248e-06,1.1660159e-05,3.1781383e-07,4.9990835e-05,1.3249111e-05,2.5607063e-05,2.6983209e-05,1.898408e-05,3.448932e-05,2.938474e-05,2.9949006e-06,9.512296e-07,1.25842635e-05,1.6787089e-06,3.743684e-06,2.2066524e-06,4.8195943e-08,7.3479023e-06,6.6844514e-06
L711,7.145188e-05,2.7503236e-05,1.3729325e-05,1.4877587e-05,8.340983e-06,1.156301e-05,8.728239e-07,7.8966696e-05,2.6904774e-05,2.7052243e-05,2.7998554e-05,1.885838e-05,3.3384393e-05,4.8808928e-05,2.4036563e-06,9.598152e-07,1.0888907e-05,9.458454e-07,3.1219388e-06,1.9627914e-06,3.425521e-08,5.765178e-06,9.50502e-07
L712,4.1264342e-05,3.4744153e-07,1.1135591e-05,8.626492e-06,3.705558e-06,3.4784898e-07,6.6746725e-07,2.756482e-05,1.336314e-05,1.6199192e-06,9.062933e-07,4.3248292e-08,1.2799283e-06,7.824393e-05,4.1842577e-07,6.789924e-08,1.7856073e-06,2.6010966e-06,4.0751183e-07,1.2802775e-07,1.1088559e-08,1.835986e-06,6.2108156e-06
L713,3.065297e-05,2.7119531e-05,2.3018802e-06,2.2795168e-05,4.766276e-06,1.1225231e-05,2.0535663e-07,5.1400857e-05,1.354143e-05,2.543244e-05,2.7092232e-05,1.8903811e-05,3.4666504e-05,2.9430492e-05,2.822082e-06,8.920324e-07,1.2674427e-05,1.6553677e-06,3.5296544e-06,2.090761e-06,4.5227353e-08,7.600931e-06,7.1609975e-06
L744,6.221817e-06,3.8366998e-06,4.398811e-06,1.6638223e-06,4.41898e-07,8.1748294e-07,4.9127266e-08,1.0117306e-05,3.4659024e-06,2.6613561e-06,3.1825184e-06,2.1649466e-06,4.3593755e-06,3.5127596e-06,2.5625923e-08,6.4756023e-09,1.6661797e-06,3.5339326e-07,3.8402504e-08,2.766319e-08,1.2805685e-09,1.1570519e-06,1.1261291e-06
L755,1.3335986e-05,1.0312069e-05,3.2600074e-06,1.0011718e-06,1.8174469e-06,1.6889244e-06,2.812303e-07,7.432711e-06,2.9553485e-06,3.0710362e-06,3.0260417e-06,2.3672765e-06,4.0720915e-06,3.2479293e-06,3.761379e-07,1.2633973e-07,1.4904363e-06,3.1548552e-07,4.7436333e-07,2.6388443e-07,6.9558155e-09,6.4464984e-07,1.6856939e-07
L756,9.453419e-06,1.0126969e-06,1.2133969e-06,1.2696837e-06,8.4823114e-07,7.2969124e-07,1.3047247e-07,1.4509715e-06,2.1769665e-07,2.513989e-07,3.160676e-08,1.4019315e-07,5.887705e-08,1.1234079e-08,1.8204446e-07,6.4086635e-08,5.669426e-08,4.985486e-08,2.2788299e-07,1.2473902e-07,2.9394869e-09,2.508168e-07,4.535832e-07
L761,0.000865873,2.9859366e-06,2.935878e-06,2.5929767e-06,2.2818567e-06,2.0705047e-06,3.7282007e-07,6.170425e-05,2.690358e-07,3.107125e-07,3.9115548e-08,1.732842e-07,7.2817784e-08,1.3853423e-08,2.2503082e-07,7.922063e-08,7.0082024e-08,6.164191e-08,2.8160866e-07,1.541921e-07,3.7252903e-09,3.0978117e-07,5.606562e-07
L766,6.2138424e-05,2.5208283e-05,6.3066836e-06,1.7769053e-06,1.12988055e-05,8.277071e-06,1.0268996e-06,2.7562084e-05,1.2660283e-05,1.4651741e-05,1.5243248e-05,1.2112607e-05,2.2940047e-05,2.0259933e-05,1.971668e-06,7.880735e-07,8.954492e-06,1.932145e-06,2.5441404e-06,1.5592086e-06,2.9045623e-08,4.414469e-06,5.200098e-06
L779,8.8503584e-05,8.252129e-06,9.092502e-06,0.00028180727,1.06165535e-05,2.2613967e-06,2.4207984e-06,1.3988509e-05,7.8059384e-07,1.001652e-06,2.1161395e-07,7.9452e-07,1.5653641e-06,1.5835685e-06,6.2279287e-07,5.0789095e-07,1.6356353e-08,2.9874354e-06,8.471252e-07,5.092734e-07,6.9849193e-09,2.3399625e-06,2.15412e-07
L798,1.0055141e-05,2.2563036e-06,1.8868595e-06,1.5547848e-06,1.6082777e-06,9.618816e-07,2.743909e-07,2.3241737e-06,4.0826853e-07,4.7910726e-07,5.92554e-08,2.6839552e-07,1.0494841e-07,2.7241185e-08,3.4685945e-07,1.2316741e-07,1.07160304e-07,1.4127e-07,4.3504406e-07,2.3818575e-07,5.646143e-09,4.839967e-07,8.572242e-07
L802,1.30190165e-05,1.8075807e-06,2.3031025e-06,2.0060106e-06,1.943903e-06,1.163804e-06,3.3190008e-07,1.7370912e-06,4.9953815e-07,5.8626756e-07,7.235212e-08,3.2834942e-07,1.2834789e-07,3.335299e-08,4.2445026e-07,1.5075784e-07,1.3108365e-07,1.7281855e-07,5.3225085e-07,2.9144576e-07,6.8102963e-09,5.9232116e-07,1.0489603e-06
L808,9.018293e-05,4.812726e-06,2.2809836e-06,5.6471792e-05,1.9302825e-05,3.268011e-06,4.3823384e-06,4.1144667e-05,2.9118382e-06,5.9346785e-06,4.6963105e-06,4.54142e-06,7.1575632e-06,1.6074046e-05,1.4936668e-06,3.3987453e-07,5.800568e-06,1.2771401e-05,1.894543e-06,1.0716612e-06,3.0442607e-08,7.0825336e-06,8.492498e-08
L813,4.4945627e-05,2.9158546e-06,1.2883102e-05,4.668429e-05,1.1942582e-05,7.007853e-06,3.4306431e-06,3.1460775e-05,1.3237586e-06,7.961644e-06,4.5746565e-06,5.686772e-06,6.8871304e-06,1.6170554e-05,2.880115e-06,2.1932647e-07,5.449634e-06,1.9590254e-05,3.4677796e-06,1.9557774e-06,5.0873496e-08,5.446025e-06,3.0604424e-06
L814,8.430239e-05,3.958121e-06,3.6403653e-06,5.5010896e-05,1.8454972e-05,3.6990969e-06,4.268135e-06,3.998069e-05,2.7266215e-06,6.160757e-06,4.677975e-06,4.671805e-06,7.1195536e-06,1.6073405e-05,1.6547274e-06,2.7555507e-07,5.755748e-06,1.9749335e-05,1.894834e-06,1.0718359e-06,3.0500814e-08,7.0823007e-06,8.5507054e-08
L821,5.2098825e-05,7.876218e-05,2.2614491e-05,1.30190165e-05,6.905687e-05,9.16532e-06,1.3322569e-06,1.8098857e-05,4.3967157e-06,3.3259857e-06,1.0638614e-06,9.316136e-07,1.3935496e-06,9.947689e-08,2.307701e-06,1.2031524e-06,2.7302303e-06,2.6420457e-07,3.5831472e-06,2.6013586e-06,1.8335413e-08,1.6392441e-05,5.7620928e-06
L822,4.4231012e-05,8.027261e-05,2.0073494e-05,1.0170683e-05,7.1510905e-05,8.058385e-06,1.3368553e-06,1.6960199e-05,4.0507875e-06,2.9758085e-06,1.0930817e-06,9.040232e-07,1.4808611e-06,1.3230601e-07,2.2001332e-06,1.0681688e-06,2.737448e-06,2.6723137e-07,3.268011e-06,2.2868626e-06,2.013985e-08,1.6735285e-05,5.432754e-06
L825,6.6286724e-05,2.1027692e-05,1.7714861e-05,5.393027e-06,1.8511637e-05,1.0422285e-05,1.1154043e-06,2.1424727e-05,4.9570226e-06,3.7108257e-06,1.0875228e-06,9.185169e-07,1.3670942e-06,4.643225e-07,2.662593e-06,1.3288809e-06,1.3911631e-06,3.290188e-07,3.976951e-06,3.05078e-06,1.2863893e-08,5.2794057e-06,6.7954534e-06
L828,5.8286998e-05,0.00012640056,3.3535063e-05,1.7468934e-05,0.0003438163,2.2873748e-05,3.457768e-06,4.4465763e-05,1.0528718e-05,8.576782e-06,2.2886088e-06,2.610148e-06,2.7420465e-06,9.604264e-08,5.874783e-06,3.0142255e-06,4.4998014e-06,6.79167e-07,8.960837e-06,6.5438217e-06,4.377216e-08,3.715069e-05,1.4164136e-05
L844,4.741241e-05,8.614012e-05,1.988851e-05,1.0122138e-05,3.1373464e-05,7.7734585e-06,1.3074023e-06,1.9756437e-05,4.963018e-06,2.547109e-06,1.9355793e-06,5.8073783e-07,3.0075898e-06,8.587376e-07,2.3855246e-06,1.0297517e-06,1.3795332e-05,3.0448427e-07,3.2939715e-06,2.1557207e-06,2.6717316e-08,0.00010418132,4.8319926e-06
L850,6.4940614e-05,2.1879532e-07,8.2330007e-07,9.4307325e-07,7.29131e-07,5.8799196e-07,2.707602e-07,1.4318866e-06,3.0113006e-07,2.6579437e-07,2.0038351e-07,1.972221e-07,5.765578e-07,2.082561e-07,4.703179e-08,4.0650775e-08,5.3676595e-06,3.6616257e-08,1.44777e-07,4.4987246e-08,6.2827894e-09,4.745687e-05,1.0401636e-06
L851,4.34642e-05,5.3085198e-05,8.427654e-06,4.2879983e-06,2.0952197e-05,3.252033e-06,4.566682e-07,7.5770367e-06,2.0473817e-06,1.0209478e-06,7.742492e-07,2.0152947e-07,1.2122619e-06,4.2410102e-07,9.763316e-07,4.383037e-07,,,,,,,
L852,2.4891087e-05,3.2095704e-07,1.4745456e-06,3.6726997e-06,2.9144441e-05,2.676039e-06,1.4503894e-07,4.6535824e-06,1.0145595e-06,4.732392e-07,9.4503775e-08,6.117625e-08,4.8748916e-09,3.210298e-07,5.949696e-07,3.9689257e-07,1.5558253e-06,2.2053428e-08,4.7344292e-07,5.0608287e-07,3.088644e-09,1.404198e-06,8.487405e-09
L853,0.00077807123,5.4983975e-06,5.1284005e-06,3.9097067e-06,4.669433e-06,2.1069427e-06,2.86891e-07,4.71338e-06,1.1440861e-06,7.2459807e-07,3.5703124e-07,1.4841498e-07,5.348411e-07,1.02620106e-07,4.998583e-07,2.7271744e-07,4.4358603e-07,6.216578e-08,8.6569344e-07,6.106857e-07,4.831236e-09,1.2627424e-06,1.5136611e-06
L854,3.4562e-06,5.920738e-07,9.0871254e-07,1.0967451e-06,9.603573e-07,3.7091013e-07,7.839844e-09,3.1423042e-07,1.1895099e-07,1.2348391e-07,8.3200575e-09,4.110916e-09,2.3850589e-08,7.214112e-09,2.2915629e-08,4.193862e-08,2.215529e-09,1.0659278e-09,1.11929694e-07,1.116714e-07,7.858034e-10,1.2259625e-07,9.849464e-08
L860,8.0331665e-06,1.4283578e-06,2.2189924e-06,2.8753566e-06,1.9870931e-06,6.202172e-07,1.8902938e-08,8.730567e-07,2.952147e-07,2.419838e-07,3.9246515e-08,2.7095666e-08,7.7765435e-08,7.9744495e-09,6.931077e-08,8.638017e-08,6.1510946e-08,7.8143785e-09,2.4517067e-07,2.0928564e-07,3.929017e-10,2.9065995e-07,2.2983295e-07
L877,3.1961914e-05,1.2041186e-05,8.450195e-06,3.3654796e-06,7.0922833e-06,3.6184501e-06,8.8484376e-07,1.1516386e-05,2.4645851e-06,1.2391829e-06,1.067383e-06,4.1275052e-07,1.6433769e-06,3.3063407e-07,1.3218087e-06,5.116308e-07,1.2465462e-06,1.8322316e-07,1.7157872e-06,9.930081e-07,1.9645086e-08,2.6551716e-06,3.7034915e-06
L89,0.0003966667,2.728973e-05,0.00014411667,4.237579e-05,4.6478526e-06,2.9073271e-06,9.756186e-07,5.426089e-06,1.4200632e-06,4.71127e-06,3.405643e-06,6.298791e-05,1.1981931e-05,1.846056e-07,1.3330136e-06,3.8556755e-07,1.4847319e-06,2.736342e-07,1.5023106e-06,6.6764187e-07,2.325396e-08,2.371322e-06,1.5530968e-06
L890,0.00019064115,0.00076629827,1.954555e-05,1.4081714e-05,1.6392325e-05,7.115421e-06,1.3677636e-06,6.393064e-06,4.514004e-06,2.5876798e-06,1.6710255e-06,6.603077e-07,2.6914058e-06,5.2456744e-07,2.0148e-06,9.4866846e-07,2.0152656e-06,2.8999057e-07,3.2867538e-06,2.1273736e-06,2.8754584e-08,4.8878137e-06,5.9128506e-06
L892,4.8609043e-05,3.396347e-05,1.3749988e-05,8.813513e-06,1.1128141e-05,4.99445e-06,1.1286465e-06,1.8082908e-05,3.4803525e-06,1.8621213e-06,1.4151447e-06,5.400507e-07,2.2629974e-06,4.5570778e-07,1.664157e-06,6.8329973e-07,1.6753329e-06,2.44705e-07,2.4743495e-06,1.5072874e-06,2.5902409e-08,3.7847785e-06,4.7675567e-06
L893,4.667515e-05,3.352511e-05,1.32334535e-05,8.080562e-06,1.06437365e-05,4.830188e-06,1.139706e-06,1.794746e-05,3.418827e-06,1.7981511e-06,1.4196266e-06,5.380716e-07,2.263405e-06,4.581525e-07,1.6642734e-06,6.635091e-07,1.6741687e-06,2.4517067e-07,2.4163746e-06,1.4491379e-06,2.6077032e-08,3.7227292e-06,4.7529466e-06
L894,5.6305726e-05,3.898493e-05,1.5920843e-05,1.0388379e-05,1.292536e-05,5.7535362e-06,1.2780074e-06,4.0064915e-06,3.833149e-06,2.07423e-06,1.5368569e-06,5.8859587e-07,2.4617184e-06,4.9429946e-07,1.8104911e-06,7.56816e-07,1.8232968e-06,2.658926e-07,2.735993e-06,1.6841805e-06,2.7939677e-08,4.1640596e-06,5.186186e-06
L959,4.0351704e-05,3.0460069e-05,1.224858e-05,8.713105e-07,1.239503e-06,3.9798033e-06,9.664218e-07,2.8755865e-05,6.8277004e-06,5.977636e-07,5.1870884e-06,7.911294e-07,7.691357e-06,2.6518537e-06,3.099587e-06,7.158378e-07,3.0539231e-06,4.871981e-07,2.6768248e-06,9.832729e-07,5.523907e-08,5.031412e-06,9.5842115e-06
L99,4.5521556e-05,2.3824148e-05,2.300876e-05,1.1414188e-05,7.0856477e-06,4.4918124e-06,8.3856867e-07,3.5109377e-05,8.2723855e-06,5.432521e-06,9.813899e-06,4.230533e-06,9.746029e-06,3.5917037e-07,1.8075225e-06,7.786439e-07,5.768379e-07,2.339948e-07,2.3550529e-06,1.6096456e-06,1.9441359e-08,2.673245e-06,4.7459325e-06
L994,0.00018321053,8.993549e-06,7.52043e-08,1.577643e-05,9.114912e-06,3.7230784e-06,7.1422546e-06,3.5482284e-05,2.1255692e-06,3.8895523e-06,2.3812754e-06,2.9920484e-06,5.098351e-06,1.9561208e-05,1.3576355e-06,5.1013194e-07,7.607916e-06,3.3407123e-06,1.5356927e-06,8.402858e-07,3.3003744e-08,5.0933333e-05,9.0297544e-07
L995,0.00014971348,1.046533e-05,1.71375e-06,1.4927355e-06,4.3594046e-05,6.4907363e-06,1.4071178e-05,2.9337243e-05,2.6654452e-06,6.6743814e-06,4.4308836e-06,4.941714e-06,8.296862e-06,3.2492913e-05,2.081506e-06,1.2211967e-07,1.3807381e-05,3.289897e-07,2.4995534e-06,1.4706748e-06,5.197944e-08,2.6450725e-06,9.660143e-07
L1110,1.4009493e-05,1.9813597e-06,3.758294e-06,5.4393167e-06,4.116344e-06,1.247914e-06,5.2896212e-08,1.0550721e-06,4.2100146e-07,4.8652873e-07,4.7730282e-08,7.2672265e-08,3.2930984e-08,5.091715e-08,5.7843863e-08,1.8221908e-07,4.7512003e-08,3.1432137e-09,4.288013e-07,4.019239e-07,1.6443664e-09,,
L1147,3.0878102e-05,5.8286532e-06,7.2723487e-06,6.354181e-06,2.6869151e-05,2.53506e-06,2.9997318e-07,4.1702297e-06,9.354262e-07,1.1534721e-06,4.7439244e-09,4.3341424e-07,6.6065695e-09,1.3387762e-08,5.523907e-07,3.6304118e-07,1.1350494e-07,5.934271e-08,1.0274816e-06,7.4805575e-07,4.7439244e-09,,
L1148,2.0679887e-05,4.381378e-06,4.6987407e-06,2.6404887e-06,2.9642091e-05,1.6684353e-06,2.9256626e-07,3.3527613e-06,6.44417e-07,8.0434256e-07,3.8853614e-08,3.676978e-07,3.959576e-08,3.2552634e-08,4.714093e-07,2.2938184e-07,9.8589226e-08,5.5675628e-08,7.1861723e-07,4.6902278e-07,5.864422e-09,1.0904914e-06,1.1878437e-06
L1157,4.625559e-05,1.5167636e-05,6.529462e-05,0.00021702267,0.00013094966,7.441535e-05,3.6326237e-06,0.00010973675,7.284747e-06,2.4421606e-05,4.8422953e-07,5.2687246e-06,4.839967e-07,2.380344e-06,6.95209e-06,5.774974e-05,8.766074e-07,1.4973339e-06,8.42649e-06,4.569418e-06,9.336509e-08,7.69808e-06,1.6564736e-05
L1159,4.103291e-05,1.3346609e-05,5.74523e-05,0.0001909298,0.0001143305,6.482855e-05,3.2870448e-06,9.550317e-05,5.9434096e-06,6.675429e-06,5.4424163e-07,4.691363e-06,6.7293877e-07,2.2259192e-06,6.084505e-06,5.2210875e-05,7.81205e-07,1.3137469e-06,6.998831e-06,3.5272678e-06,9.260839e-08,6.1885803e-06,1.388893e-05
L2363,6.9506816e-05,4.215166e-06,1.5740516e-05,2.7248054e-05,3.924349e-05,8.044299e-06,2.0267093e-05,2.2778404e-05,1.1955854e-05,1.1881231e-05,7.943227e-05,2.7787173e-06,2.731802e-06,1.6966369e-06,5.750917e-06,5.6992285e-06,6.388873e-07,1.618173e-07,4.4835033e-06,1.8027029e-05,3.1411182e-06,3.0564843e-06,7.697614e-06
L2625,7.4708776e-05,8.771021e-06,2.1793472e-05,2.6486057e-05,3.490952e-05,1.1322845e-05,1.6666716e-05,2.6365917e-05,1.12637645e-05,5.5711134e-06,4.498259e-05,6.481656e-06,4.751084e-06,3.6950223e-07,7.660594e-06,4.6595233e-07,2.8604816e-05,1.11412955e-05,5.4738484e-06,1.5278812e-05,2.5613117e-06,4.1213934e-06,4.699803e-06
L57,1.4275356e-06,3.3061224e-07,1.9292638e-06,6.0643797e-06,4.84685e-06,2.5106783e-06,7.791823e-08,3.3151082e-06,3.799869e-07,4.6117202e-07,2.727029e-08,1.6156264e-07,8.8526576e-08,1.3104e-08,2.4296605e-07,1.7356651e-06,3.1759555e-08,1.762237e-08,5.1427924e-07,4.3252658e-07,1.4551915e-11,5.8227306e-07,7.7816367e-07
L66,9.410651e-06,5.6920835e-06,5.2177347e-06,2.3389875e-06,1.155684e-06,6.842747e-07,2.2049062e-07,8.5440115e-06,2.1701417e-06,1.5825644e-06,2.7627393e-06,1.2973178e-06,3.6364945e-06,1.4924444e-07,4.5205525e-07,1.4988473e-07,1.7775164e-07,6.725895e-08,5.4643897e-07,2.8358772e-07,7.188646e-09,5.965412e-07,1.3284152e-06
L69,9.919109e-06,5.9998274e-06,5.499707e-06,2.4654146e-06,1.2180535e-06,7.211929e-07,2.3239409e-07,9.005453e-06,2.2873282e-06,1.6679987e-06,2.9118673e-06,1.367298e-06,3.832829e-06,1.573062e-07,4.764879e-07,1.5791738e-07,1.8737046e-07,7.086783e-08,5.759357e-07,2.9889634e-07,7.566996e-09,6.2875915e-07,1.4001271e-06
L7,1.5352271e-09,3.4924597e-10,2.4338078e-09,7.556082e-09,2.5802365e-07,7.4507625e-07,6.828486e-09,4.99389e-07,1.8725405e-07,2.192246e-07,3.207606e-08,2.062734e-08,7.690687e-08,1.9812433e-08,5.71672e-08,4.5405977e-07,1.0539225e-08,5.464244e-09,3.071873e-07,3.0591036e-07,2.582965e-09,3.6933488e-07,3.7065547e-07
L2713,1.2531236e-05,5.591224e-06,9.450363e-06,9.633659e-07,3.3550896e-07,4.425936e-06,4.4613553e-06,5.3950935e-06,1.9372092e-06,7.579918e-06,3.9991166e-05,1.4447141e-07,5.2532414e-08,2.2054592e-06,1.0893273e-06,2.5633199e-06,2.83579e-06,1.5136029e-06,2.2176537e-06,3.5588455e-06,1.5890691e-08,1.6653503e-06,3.9349834e-06
L2716,2.6265276e-05,2.248038e-05,2.6432506e-05,1.9561267e-06,2.3667235e-07,1.3504759e-05,1.1713244e-05,1.5594938e-05,2.9365183e-06,2.9242772e-05,,,,,,,,,,,,,
L2718,9.560841e-06,3.9859733e-06,7.0440146e-06,7.505587e-07,2.485467e-07,3.2733515e-06,3.3461984e-06,4.0271552e-06,1.4973339e-06,5.4724223e-06,3.326856e-05,2.1973392e-07,1.6987906e-07,1.3881072e-06,5.871407e-07,1.6466074e-06,1.8327119e-06,1.1424272e-06,1.4685647e-06,2.4770125e-06,8.250936e-09,8.768111e-07,2.4982437e-06
L2725,1.3109035e-05,5.3866825e-06,1.0043499e-05,1.315464e-06,5.64527e-07,4.762347e-06,4.77914e-06,6.1866012e-06,2.030516e-06,8.187984e-06,3.2181328e-05,6.0521415e-07,3.038731e-07,3.0147203e-06,1.6431732e-06,3.8066064e-06,9.18709e-06,1.369277e-06,2.7533097e-06,4.1838794e-06,5.104812e-08,2.6065973e-06,5.557842e-06
L1011,5.485708e-07,1.6705599e-08,9.784708e-08,2.1273081e-07,6.4392225e-10,3.3105607e-10,1.1277734e-10,1.0077201e-09,1.4915713e-10,1.70985e-10,2.1827873e-11,9.458745e-11,4.3655746e-11,5.0931703e-11,1.3460522e-10,4.3655746e-11,5.0931703e-11,7.275958e-12,1.6007107e-10,8.731149e-11,7.275958e-12,2.0736479e-10,3.1650416e-10
L1063,0.00013049156,1.8871855e-05,2.9458199e-05,5.3345226e-05,0.00013152673,2.4982262e-05,8.075731e-06,0.0005917025,6.632833e-05,1.23092905e-05,7.168413e-05,5.803653e-05,3.5776524e-05,0.00012086448,0.000121108955,4.7906535e-05,7.277401e-05,5.3020194e-06,8.694641e-05,0.00010584458,1.9444153e-05,0.00014841557,6.89195e-05
L1065,0.0009425935,9.620562e-07,4.9661758e-06,2.0577572e-06,1.9233557e-06,6.8928057e-07,2.524932e-06,2.580724e-06,1.9536383e-06,3.2699172e-06,6.912451e-07,3.8683356e-07,9.3583367e-07,5.8351725e-07,1.1906377e-07,1.5425321e-06,3.6347774e-06,1.0307413e-06,1.1830562e-06,2.6363268e-06,5.1557436e-08,2.6206544e-07,2.0157313e-06
L1074,1.8316729e-05,4.4198823e-06,1.0573422e-05,9.360956e-07,1.720764e-05,2.6930938e-06,4.627218e-05,8.8172965e-07,6.938353e-07,4.3525943e-06,2.1164888e-06,2.9866933e-06,3.5781413e-06,9.735755e-06,1.694425e-06,4.0023588e-07,3.302633e-05,7.6642027e-07,2.144603e-06,1.3313838e-06,1.7113052e-08,3.5427685e-05,1.3748067e-06
L1082,5.370748e-07,2.0168955e-08,9.009818e-08,1.9916479e-07,6.548362e-10,3.3833203e-10,1.200533e-10,9.822543e-10,1.5643309e-10,1.7462298e-10,2.910383e-11,9.822543e-11,4.7293724e-11,5.0931703e-11,1.2369128e-10,5.4569682e-11,5.4569682e-11,2.1827873e-11,1.6734703e-10,9.458745e-11,3.637979e-12,2.0008883e-10,3.237801e-10
L1098,5.941103e-06,1.3604877e-06,1.492539e-06,9.003779e-07,1.2481978e-06,5.937036e-07,2.8841168e-07,1.6912745e-06,2.6845373e-07,3.0917727e-07,5.026959e-08,1.7156708e-07,7.475319e-08,9.553332e-09,2.300585e-07,8.002826e-08,4.136382e-08,3.312016e-08,2.8802606e-07,1.5876867e-07,3.6598067e-09,4.04194e-07,5.574693e-07
L1138,8.621413e-06,1.4277321e-06,1.9205036e-06,1.5668193e-06,1.2382661e-06,6.8846566e-07,2.0612788e-07,1.9592844e-06,3.0256342e-07,3.663008e-07,4.681351e-08,2.0570587e-07,6.776827e-08,2.363231e-08,2.6615453e-07,9.6086296e-08,7.751805e-08,2.2017048e-08,3.3414108e-07,1.8435821e-07,4.321919e-09,3.9534643e-07,6.410701e-07
