,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L2824,3.5070698e-06,1.8040009e-06,1.5717815e-06,2.2765016e-07,4.174217e-06,9.241048e-07,1.4550751e-06,2.374989e-06,4.6158675e-08,4.704905e-05,8.6665445e-05,7.732815e-06,6.730892e-05,1.0474774e-05,7.6092692e-06,4.081943e-06,1.8898136e-06,8.10207e-07,5.163165e-07,3.7704012e-08,1.0794756e-06,1.2339442e-06,5.233014e-07,1.6003716e-05,2.0250154e-05,3.103794e-05,6.680784e-08,4.1743624e-07,6.232003e-07,6.847695e-07,3.6619895e-07,3.9630686e-07,7.536437e-07,1.4422403e-07,4.9261143e-07,7.7801815e-07,5.106558e-07,6.486938e-06,7.784125e-06,1.4715115e-06,4.361615e-05,4.2167594e-06,5.648617e-07,1.04584615e-07,1.1150405e-07,2.6717316e-08,7.138442e-08
L2825,5.2334217e-06,1.6949198e-06,1.3643003e-06,2.2895983e-07,3.7755817e-06,8.5961074e-07,1.180626e-06,1.965731e-06,1.4144462e-08,4.7514302e-05,9.195745e-05,7.693059e-06,7.718638e-05,1.24960425e-05,6.9275557e-06,4.9348964e-06,1.3265089e-06,5.1942334e-07,6.8117515e-08,1.05050276e-07,4.556132e-07,8.6717773e-07,8.1563485e-08,2.4567598e-05,2.4784946e-05,3.6411242e-05,4.7599315e-08,1.5335536e-07,1.1309021e-07,7.761264e-08,1.101871e-07,5.005859e-09,2.6462658e-08,6.0863385e-08,1.541921e-07,2.3207394e-07,1.0133954e-07,3.3255783e-06,1.0378179e-05,1.0960648e-06,4.2361346e-05,3.7970494e-07,4.8733455e-07,5.3351687e-07,4.0133273e-07,2.0455627e-07,1.09999746e-07
L2828,2.2155e-06,4.225585e-06,3.936235e-06,4.993635e-07,1.0110787e-05,2.184417e-06,3.8309954e-06,6.164133e-06,2.3876783e-07,0.0004079215,0.0006404838,0.00031868496,0.0005235877,0.000112960115,0.00019284198,0.00013436517,4.1395426e-05,1.7489772e-05,1.49034895e-05,2.8475188e-07,2.6511494e-05,2.579973e-05,1.42380595e-05,0.00018480048,0.00027416204,0.00012746383,4.3988694e-06,1.28138345e-05,2.5745016e-05,2.6134308e-05,1.3139797e-05,1.6055303e-05,3.026356e-05,7.59284e-06,1.7557526e-05,2.8304989e-05,1.9054627e-05,0.00019480707,4.967116e-05,2.3215776e-05,0.00055800076,3.9605657e-05,1.2777746e-05,3.2875687e-07,6.8324152e-06,1.1338852e-07,2.8752256e-06
L2830,2.6018824e-07,3.673078e-06,3.442634e-06,4.2992178e-07,8.8055385e-06,1.8964638e-06,3.3708639e-06,5.4147094e-06,2.2433233e-07,0.0002938119,0.0006632871,0.00035474438,0.0005215078,0.00013717567,0.00019368739,0.00015442749,4.0264335e-05,1.6718404e-05,1.41968485e-05,2.5867485e-07,2.5301008e-05,2.467283e-05,1.3572164e-05,0.0002154978,0.00023112702,0.000120895915,4.076399e-06,1.2012431e-05,2.3993896e-05,2.4399953e-05,1.2287404e-05,1.4975434e-05,2.8228154e-05,7.052906e-06,1.6414793e-05,2.645608e-05,1.7801067e-05,0.0001828007,4.661898e-05,2.1171523e-05,0.00051281485,4.793564e-05,1.1837808e-05,2.218876e-07,6.3849147e-06,9.476207e-08,2.6861671e-06
L2834,9.787269e-06,7.0926035e-06,7.269671e-06,7.461058e-07,1.787534e-05,3.7391437e-06,7.5057615e-06,1.1894153e-05,7.0850365e-07,3.674894e-05,6.663415e-05,0.00022668322,0.0008982138,0.00046032947,0.00021448801,0.0003350356,5.3087948e-05,1.9948464e-05,1.8161256e-05,6.449409e-07,3.1158328e-05,2.905028e-05,1.7049257e-05,0.00049046427,0.00010334165,0.00013819546,4.5530032e-06,1.22501515e-05,2.5714748e-05,2.5681918e-05,1.2716278e-05,1.5878351e-05,2.9968563e-05,7.747905e-06,1.7060665e-05,2.7536182e-05,1.8619001e-05,0.00018379558,5.4467935e-05,2.1398999e-05,0.0003908167,0.00021639024,1.1275755e-05,9.785872e-07,6.5749045e-06,2.2351742e-07,2.7106144e-06
L2841,3.1724921e-06,2.0836014e-06,2.3011235e-06,1.9575236e-07,5.488924e-06,1.1230586e-06,2.4661422e-06,3.875466e-06,2.7555507e-07,3.335299e-06,1.2191478e-05,0.000101521495,4.2114058e-05,2.172211e-05,4.9291295e-05,1.8334948e-05,1.1220167e-05,3.12482e-06,3.1074742e-06,1.6897684e-07,5.0772214e-06,4.451198e-06,2.839428e-06,0.00018421904,0.00010326563,5.559792e-06,5.2075484e-07,1.1638331e-06,2.7429196e-06,2.610468e-06,1.2300734e-06,1.6375561e-06,3.1106465e-06,8.63336e-07,1.6788545e-06,2.7120404e-06,1.8578139e-06,1.6607606e-05,1.3119134e-06,2.1707965e-06,3.0464755e-05,0.00013260807,,,,,
L2861,8.255243e-06,6.117858e-06,6.7671062e-06,3.1862874e-07,1.3633748e-05,2.51655e-06,7.993076e-06,1.1203694e-05,1.1154916e-06,1.6392441e-06,2.7094851e-05,1.661852e-05,1.1338852e-07,2.0005973e-06,8.032075e-06,1.3165409e-05,9.23418e-06,5.842652e-06,5.5854907e-06,3.160676e-07,1.23017235e-05,7.932773e-06,6.9641974e-06,6.4356485e-05,1.1327211e-06,1.3875077e-05,2.6455382e-06,1.7745188e-06,1.1817203e-05,9.451644e-06,2.0642765e-06,6.7198416e-06,1.2892182e-05,9.540585e-06,6.263028e-06,9.629643e-06,6.4891065e-06,2.045394e-05,7.17293e-06,7.50029e-06,2.9340386e-05,3.8146973e-06,1.4046673e-06,5.6187855e-06,1.3795216e-07,9.086216e-07,1.1494849e-06
L2883,6.292248e-07,1.2904638e-07,7.8661833e-07,8.1723556e-08,1.2322853e-06,1.4467514e-07,1.204171e-06,1.7500424e-06,3.1653326e-07,5.4889824e-08,1.0443327e-06,9.563519e-08,1.2072269e-07,6.161281e-08,1.7218408e-06,1.1627853e-06,1.7464627e-06,4.453177e-07,1.4659017e-06,2.992747e-07,1.5263213e-06,3.053865e-07,1.1196826e-06,8.830102e-08,1.2776582e-07,1.1864759e-06,6.3568586e-07,1.8000719e-07,2.1246087e-06,1.5484402e-06,5.0934614e-07,1.1280063e-06,2.148794e-06,9.685464e-07,7.53178e-07,1.2821693e-06,9.821961e-07,2.3425673e-07,1.6834238e-06,1.4937541e-06,1.0585354e-06,6.7809015e-07,8.625793e-07,1.1347875e-06,3.1630043e-07,1.6356353e-07,1.1367956e-07
L2907,5.2517426e-06,1.2736855e-06,3.7354766e-07,4.675225e-06,4.74618e-06,7.735216e-07,2.8506329e-06,2.1104788e-06,1.686014e-06,1.926106e-06,2.0473672e-06,1.1833763e-06,1.6154125e-05,5.701877e-06,8.589253e-06,3.816196e-06,9.069103e-06,9.324314e-06,2.9213043e-05,4.889007e-07,4.1222956e-06,2.1525993e-05,5.072652e-06,3.5467237e-06,7.264316e-08,3.7523423e-06,2.1071173e-06,2.4938112e-05,3.319091e-05,9.690411e-07,1.3043202e-05,6.43768e-06,1.3413257e-05,2.3833418e-06,1.4059187e-06,1.1193333e-07,2.5437912e-06,4.7615613e-06,1.533833e-05,8.274888e-06,8.544273e-06,1.1222728e-05,1.5894126e-05,3.2269047e-05,6.831571e-06,8.887029e-06,2.0454172e-07
L2932,1.996057e-06,4.108902e-05,2.6936177e-06,3.176194e-05,4.2882108e-05,8.651288e-06,2.655317e-06,8.35926e-06,6.4218184e-06,8.032948e-06,5.8009755e-06,4.5089982e-06,1.2823148e-05,1.335534e-05,0.00018524611,2.0046718e-07,6.506394e-05,6.536662e-06,0.00017127517,2.0887237e-06,1.6588427e-05,1.9248982e-05,3.809866e-06,6.6141365e-07,4.1967724e-07,4.832982e-06,2.5390764e-06,0.00014862206,1.5387777e-05,1.2500444e-05,1.0363088e-05,6.000337e-07,2.7219066e-06,2.954912e-07,7.3053816e-06,1.1803553e-05,9.154814e-06,1.9356376e-06,2.9191433e-06,6.1891333e-06,1.0690506e-05,1.0674063e-05,2.6907655e-06,3.250368e-05,4.0260784e-06,1.1716562e-05,6.130722e-07
L2936,1.9811618e-05,3.936526e-06,1.5698024e-06,1.8218125e-05,1.684326e-05,1.9696134e-05,6.973045e-06,1.7330225e-05,2.764631e-06,1.1299853e-05,3.797526e-06,9.651703e-06,2.5771558e-05,2.1424494e-06,4.3631706e-05,1.8162245e-05,1.0685588e-05,2.2655004e-05,1.3911631e-08,2.8173672e-06,2.1693355e-05,3.321923e-05,4.165573e-06,6.664486e-06,6.8893423e-06,1.7694721e-05,3.6496203e-08,2.7863367e-05,8.674688e-06,1.5954953e-05,5.5117416e-06,6.383809e-06,1.2848468e-05,9.819982e-06,7.4194395e-06,1.3614073e-05,1.036562e-05,1.746288e-06,1.361646e-05,9.760261e-06,9.126961e-06,1.0481919e-05,6.029848e-06,1.0716787e-05,6.941438e-06,1.665554e-06,1.4092075e-06
L2971,1.34677975e-05,5.546317e-06,9.143318e-06,5.859707e-06,3.6866695e-05,4.8930524e-05,4.6837726e-05,5.307689e-05,1.8751947e-05,1.8144201e-05,3.278209e-05,7.0695532e-06,3.062276e-05,1.177541e-05,3.3460616e-05,2.3271015e-05,4.3836597e-05,4.5836205e-06,3.1992386e-05,2.7429778e-06,1.5714671e-05,4.394917e-05,1.452252e-05,4.9531227e-06,2.1376181e-06,3.2703567e-05,1.5574216e-05,6.3590705e-06,3.8872706e-05,1.6414095e-05,1.6441452e-05,4.158751e-05,5.9471524e-05,2.2591907e-05,1.7202692e-05,2.5098154e-05,1.1121039e-05,2.1733053e-05,1.7426268e-05,2.6857422e-05,2.4203444e-05,1.0411488e-05,9.087496e-06,2.627261e-06,3.311358e-05,6.4655906e-06,5.157548e-06
L2986,9.488111e-06,6.356364e-06,4.0266023e-06,2.8456561e-06,1.3553712e-05,1.2241653e-05,1.3956858e-05,1.4818186e-05,1.3646786e-06,1.2094388e-05,2.2210297e-06,3.4027325e-06,1.6330625e-05,1.8835126e-06,2.6764377e-05,1.6634178e-05,1.6727165e-05,6.3632906e-06,2.5499146e-05,6.602786e-07,1.5352765e-05,1.9636645e-06,5.417387e-06,1.8404389e-06,4.175934e-06,1.0304881e-05,5.834154e-07,1.0009215e-05,2.6824797e-05,8.31479e-06,7.82602e-07,1.2795412e-05,2.3999746e-05,8.023286e-06,3.2838143e-06,8.2410406e-07,5.2020187e-07,1.0172487e-05,1.7635932e-05,1.5442114e-05,1.2922683e-05,3.1426607e-06,2.9463263e-06,1.8194638e-05,8.594099e-06,3.0292722e-06,1.0204676e-06
L3003,1.3501267e-06,1.7578204e-06,9.886717e-07,9.851938e-07,8.1653707e-07,4.8086076e-07,1.9371655e-06,2.2987078e-06,1.4799953e-06,2.205008e-06,1.6544509e-06,4.5759225e-07,2.6743583e-06,3.897003e-07,3.5475532e-06,1.9956278e-06,1.7286948e-07,1.0778167e-06,1.6714766e-06,1.0541698e-06,1.07102096e-07,1.68111e-06,8.530187e-07,1.293738e-07,4.2103784e-07,1.3251556e-06,1.5564729e-07,1.202985e-06,2.5560366e-06,2.4863402e-07,1.547116e-06,1.6319245e-07,5.2444375e-07,8.731804e-07,7.3025876e-07,3.011286e-06,1.87361e-06,2.3014582e-07,1.0023505e-06,4.79602e-07,1.3164245e-06,1.7322309e-06,1.6174454e-07,3.206187e-06,5.936745e-07,2.1085725e-07,3.5588164e-07
L3024,3.647554e-06,1.1548982e-06,1.4229154e-06,4.0666782e-07,5.2390387e-06,2.3823231e-06,8.577772e-07,1.924258e-06,5.8847945e-07,2.231769e-06,7.6784636e-07,1.8486753e-06,1.2980308e-08,7.810886e-07,5.6249264e-06,3.5820995e-06,1.4046964e-06,2.9543298e-06,3.7014543e-06,1.0970689e-06,9.512878e-07,3.942114e-06,7.917115e-07,1.5386613e-06,1.8588325e-06,4.1432504e-06,1.0980875e-07,2.7939386e-06,6.1428873e-06,3.0387018e-06,6.277114e-07,2.3729808e-06,4.128553e-06,2.0357838e-06,1.1837692e-06,2.2363965e-06,1.2304808e-06,5.319016e-07,4.1354506e-06,3.1203963e-06,3.0656229e-06,2.883171e-06,8.2631595e-07,4.3245382e-07,2.8108188e-06,3.3996184e-07,8.144998e-07
L3025,4.0823215e-06,2.6950147e-08,2.4981418e-06,1.665976e-06,5.9159356e-06,1.2202509e-06,1.2911332e-06,1.5205587e-06,1.4770194e-06,9.2458504e-07,3.4371624e-07,7.7154255e-08,1.4671677e-06,8.4147905e-07,6.7324436e-06,4.984555e-06,4.3134205e-06,3.6244892e-06,5.3378317e-06,5.2095857e-07,2.654022e-06,1.0885706e-06,4.608126e-06,9.17149e-07,6.013288e-07,3.9802253e-06,3.4338445e-06,8.544448e-07,1.206786e-05,6.5345375e-06,1.8700666e-07,2.316272e-06,5.7208235e-06,2.967281e-06,2.364337e-06,4.3484615e-06,5.0557137e-06,2.7155766e-06,8.679388e-06,3.6611746e-06,3.715133e-06,3.1054951e-06,5.1477837e-06,4.869871e-06,2.4594192e-07,8.350471e-07,1.555105e-06
L3031,9.1541733e-07,6.9430826e-08,6.187074e-07,1.511653e-07,1.4292236e-06,7.654671e-08,2.7373972e-07,8.3920895e-07,5.6206773e-08,1.3755198e-08,3.2128082e-07,7.6703145e-08,1.2139935e-07,1.4058605e-07,1.5994774e-06,1.0974582e-06,1.0115327e-06,6.0729144e-07,1.234006e-06,1.3933459e-09,6.1391256e-07,2.2476888e-07,9.30424e-07,7.665221e-09,2.7332499e-07,1.1678821e-06,6.5537097e-07,1.6083868e-07,2.2685417e-06,1.3126482e-06,2.420129e-07,8.618481e-07,1.5075093e-06,7.743074e-07,6.719383e-07,1.2409837e-06,9.745127e-07,1.9219442e-07,1.7370621e-06,1.1970515e-06,8.284878e-07,4.0065424e-07,7.1604154e-07,7.4369746e-07,3.4477125e-07,2.5732152e-07,2.4421388e-07
L3036,1.3559242e-05,3.215624e-06,1.8152874e-05,5.703885e-06,4.009565e-05,6.6543e-07,4.178146e-06,2.2182125e-05,5.2516116e-06,5.5134296e-07,5.1565003e-06,3.6195852e-06,7.0113456e-06,2.0455336e-06,4.979619e-05,3.445323e-05,3.2343087e-05,2.402137e-05,4.1307416e-05,2.618879e-06,2.4871668e-05,1.9165454e-06,2.869626e-05,1.1816155e-06,5.9097074e-06,3.0409661e-05,1.7783255e-05,8.900766e-06,7.44632e-05,4.358345e-05,4.6705827e-07,1.9906787e-05,4.4116518e-05,2.127653e-05,1.2727687e-05,2.5875983e-05,2.8133858e-05,7.529743e-06,5.3672935e-05,1.909805e-05,2.752943e-05,1.3190322e-05,2.7142582e-05,3.111642e-05,6.876071e-06,3.97081e-06,1.2147124e-05
L3129,2.5465852e-11,9.822543e-11,2.910383e-11,2.1827873e-11,3.637979e-12,7.275958e-12,0.0,1.0913936e-11,2.1827873e-11,2.1827873e-11,2.910383e-11,1.8189894e-11,3.6379788e-11,7.275958e-12,2.1827873e-11,7.275958e-12,1.4551915e-11,2.1827873e-11,1.0913936e-11,1.4551915e-11,2.5465852e-11,4.7293724e-11,1.4551915e-11,1.0913936e-11,3.637979e-12,2.910383e-11,2.1827873e-11,1.0913936e-11,1.2205419e-08,1.2223609e-08,1.4551915e-11,1.4551915e-11,3.637979e-12,1.0913936e-11,1.2354576e-08,1.2332748e-08,7.275958e-12,2.5465852e-11,3.6379788e-11,1.8189894e-11,7.275958e-12,1.4551915e-11,2.910383e-11,1.2158125e-08,1.2201781e-08,3.637979e-12,7.275958e-12
L3143,4.7257345e-08,1.4944817e-08,8.344796e-08,5.7749276e-08,1.1976226e-08,1.2216333e-08,2.0372681e-09,2.9467628e-08,4.540925e-08,4.3481123e-08,2.5174813e-09,6.23113e-08,1.0032818e-07,2.5494955e-08,5.6403223e-08,1.610897e-08,3.1024683e-08,4.5038178e-08,2.4410838e-08,4.6442437e-08,6.8619556e-08,1.1782686e-07,3.760215e-08,1.470471e-08,2.7852366e-08,5.6053977e-08,7.3065166e-08,4.8319635e-08,1.6451668e-07,2.0734296e-07,3.8817234e-08,4.7650246e-08,1.7425918e-08,2.6433554e-08,2.855959e-07,2.3528992e-07,1.0550139e-09,5.8615115e-08,9.393261e-08,3.783498e-08,2.86891e-08,3.5994162e-08,7.1486284e-08,9.107316e-08,2.1688902e-07,1.9957952e-08,1.8044375e-08
L3150,7.521012e-07,1.0855729e-08,3.0267984e-08,2.9889634e-08,2.5029294e-09,1.2776582e-08,1.8713763e-08,1.4173565e-08,1.4115358e-08,3.4924597e-08,3.49537e-08,3.320747e-08,5.5355486e-08,1.8102583e-08,3.5361154e-08,3.259629e-09,1.193257e-09,1.6094418e-08,2.9394869e-09,6.4319465e-09,3.0500814e-08,5.977927e-08,3.867899e-08,1.1770462e-06,1.2214296e-06,4.1838503e-06,3.5561388e-06,2.8263312e-06,4.2287866e-08,1.4351099e-07,1.033186e-08,5.9080776e-09,1.891749e-09,8.731149e-11,1.5521073e-07,1.6079866e-07,9.8661985e-09,3.6961865e-09,7.9744495e-09,4.656613e-09,2.0372681e-09,8.469215e-09,3.7252903e-09,1.3821409e-07,1.5235855e-07,2.4738256e-09,6.039045e-08
L101,3.932655e-08,1.2565579e-08,7.0082024e-08,4.852336e-08,1.0099029e-08,1.02227204e-08,1.6589183e-09,2.465822e-08,3.8118742e-08,3.6568963e-08,2.0008883e-09,5.235779e-08,8.430652e-08,2.1449523e-08,4.742469e-08,1.3533281e-08,2.6011548e-08,3.781315e-08,2.0496373e-08,3.8991857e-08,5.766924e-08,9.9003955e-08,3.1614036e-08,8.541974e-09,1.9521394e-08,3.7056452e-08,4.9578375e-08,3.111927e-08,3.9751467e-07,4.3408363e-07,3.255991e-08,3.9966835e-08,1.4639227e-08,2.2140739e-08,5.001493e-07,4.5796332e-07,8.58563e-10,4.9178198e-08,7.8827725e-08,3.178866e-08,2.4068868e-08,3.0195224e-08,5.997572e-08,3.3646938e-07,4.4204353e-07,1.675653e-08,1.5323167e-08
L1019,4.611793e-07,8.218922e-08,3.966852e-07,2.7549686e-07,4.6013156e-08,8.7340595e-08,8.1869075e-08,2.2357563e-07,2.742163e-07,2.5096233e-07,5.3551048e-08,1.9700383e-07,4.2334432e-07,1.1641532e-07,2.6795897e-07,3.2887328e-09,3.7252903e-09,1.5331898e-07,1.4074612e-07,1.3585668e-07,2.0072912e-07,4.6860077e-07,1.6117701e-07,5.502079e-06,2.5552872e-06,3.9910665e-06,3.9752922e-07,2.2500171e-07,1.4875841e-06,1.8852297e-06,6.83649e-08,1.1382508e-07,2.500019e-08,1.2369128e-07,2.1368032e-06,1.9543804e-06,1.169974e-08,2.2733002e-07,3.3670221e-07,1.7424463e-07,8.0122845e-08,1.0826625e-07,2.9007788e-07,1.34742e-06,1.8482096e-06,8.789357e-08,2.2136373e-07
L1039,3.692985e-06,1.6988488e-06,7.042545e-07,1.4282414e-06,2.8153881e-06,9.994255e-07,3.5478151e-06,3.1053787e-06,2.9854127e-06,8.0285827e-07,8.363859e-07,3.715977e-07,1.6931444e-06,1.803448e-06,3.5691774e-06,3.5254634e-06,1.1959928e-06,3.338675e-06,2.4375622e-06,7.766066e-07,1.6699778e-07,2.2706226e-06,3.3085817e-06,1.2939563e-06,7.027411e-07,1.6455306e-06,3.262714e-06,2.2788299e-07,7.362396e-06,3.2030512e-06,2.8364593e-07,9.31439e-07,8.804724e-06,2.1897722e-06,1.2241071e-07,3.7747668e-07,1.8487917e-06,2.963061e-06,6.2449835e-06,1.6708509e-06,1.8451246e-06,2.2136373e-06,3.5876874e-06,2.8504292e-06,3.9709266e-07,2.2480963e-06,7.06641e-07
L1089,1.3729732e-07,1.2325472e-08,1.0302756e-07,8.218922e-08,1.9193976e-08,7.6397555e-09,5.7247235e-08,4.004687e-08,1.5541445e-08,5.066977e-08,3.2930984e-08,1.1528027e-07,1.6155536e-07,3.623427e-08,8.648203e-08,5.074253e-08,1.0523945e-07,8.85193e-08,1.4770194e-08,8.461939e-08,1.4630496e-07,2.0395964e-07,7.606286e-08,6.943592e-07,7.358467e-07,1.0502117e-06,7.625204e-09,6.2340405e-08,6.449409e-07,6.041664e-07,8.412462e-08,9.564974e-08,5.1120878e-08,1.8320861e-08,7.6246215e-07,6.976916e-07,1.5716068e-08,8.1257895e-08,1.553999e-07,7.5189746e-08,5.4351403e-08,5.4045813e-08,9.7599695e-08,4.919566e-07,6.7714427e-07,2.6208e-08,9.5242285e-08
L1096,2.8958311e-08,1.7113052e-08,1.03289494e-07,7.278868e-08,1.5163096e-08,1.4639227e-08,2.1536835e-09,3.0733645e-08,5.259062e-08,5.4831617e-08,0.0,7.910421e-08,1.2529199e-07,3.0733645e-08,7.133349e-08,2.1827873e-08,4.141475e-08,5.7014404e-08,2.7852366e-08,5.7392754e-08,8.841744e-08,1.49681e-07,4.8661605e-08,1.8568244e-08,4.132744e-09,3.6816346e-08,4.1298335e-08,1.9208528e-08,4.21016e-07,4.7148205e-07,4.8952643e-08,6.009941e-08,2.3195753e-08,3.1403033e-08,5.726761e-07,5.112088e-07,8.731149e-11,7.3050614e-08,1.1752127e-07,4.793401e-08,3.5972334e-08,4.4325134e-08,8.88831e-08,3.2986281e-07,4.870235e-07,2.4912879e-08,2.81143e-08
L11,2.1827873e-11,1.0913936e-11,4.0017767e-11,2.1827873e-11,0.0,7.275958e-12,0.0,1.4551915e-11,2.5465852e-11,2.5465852e-11,0.0,2.5465852e-11,4.0017767e-11,7.275958e-12,2.910383e-11,7.275958e-12,1.0913936e-11,1.4551915e-11,1.0913936e-11,2.1827873e-11,3.274181e-11,5.820766e-11,1.0913936e-11,7.275958e-12,7.275958e-12,1.4551915e-11,1.8189894e-11,7.275958e-12,3.2876414e-08,3.2898242e-08,2.1827873e-11,2.910383e-11,7.275958e-12,1.0913936e-11,3.317473e-08,3.315654e-08,3.637979e-12,2.1827873e-11,3.6379788e-11,1.0913936e-11,1.4551915e-11,1.4551915e-11,3.274181e-11,3.2789103e-08,3.2843673e-08,1.0913936e-11,3.637979e-12
L1105,1.6763806e-08,6.3009793e-09,2.9453076e-08,2.005254e-08,4.10364e-09,4.9185473e-09,3.3760443e-09,1.3576937e-08,1.853914e-08,1.610897e-08,2.5320332e-09,2.0852895e-08,3.5128323e-08,9.793439e-09,1.9877916e-08,3.6670826e-09,7.392373e-09,1.4755642e-08,1.0229996e-08,1.5264959e-08,2.1143933e-08,3.936293e-08,1.2500095e-08,3.2392563e-08,3.882451e-08,4.6391506e-08,1.4770194e-08,1.0375516e-08,2.8240902e-07,3.0217052e-07,1.1976226e-08,1.5061232e-08,4.8748916e-09,9.662472e-09,3.281748e-07,3.107707e-07,8.440111e-10,1.9936124e-08,3.1795935e-08,1.276203e-08,9.3568815e-09,1.2165401e-08,2.4723704e-08,2.5963527e-07,3.0289812e-07,6.8248482e-09,4.263711e-09
L1123,9.662472e-09,1.1193333e-07,4.6443893e-07,3.1577656e-07,5.7916623e-08,8.8708475e-08,8.166535e-08,2.5099143e-07,3.032619e-07,2.6833732e-07,1.8975697e-08,2.7671922e-07,5.068141e-07,1.3544923e-07,3.0506635e-07,3.282912e-08,5.4424163e-08,1.9901199e-07,1.549488e-07,1.9470463e-07,2.7974602e-07,5.759648e-07,1.8184073e-07,2.8501963e-06,8.7113585e-07,1.0278309e-06,1.5716068e-09,3.585592e-08,1.5696278e-06,1.5984988e-06,1.3469253e-07,1.8451829e-07,5.2677933e-08,1.4581019e-07,1.9261497e-06,1.6829581e-06,1.9441359e-08,2.880115e-07,4.3201726e-07,2.2118911e-07,1.1449447e-07,1.5768455e-07,3.6030542e-07,9.559444e-07,1.576147e-06,1.0448275e-07,1.815497e-07
L1175,1.605622e-07,2.509223e-07,1.3128374e-07,4.529138e-07,3.5128323e-08,5.8074147e-07,6.4018604e-07,5.4287375e-07,4.2474858e-07,4.013673e-07,2.4514884e-07,1.1756856e-07,1.846347e-07,5.5878627e-07,3.306268e-07,3.0387673e-07,1.1374141e-07,2.7978967e-07,2.0293737e-07,5.7352736e-08,3.37277e-08,6.160444e-07,6.0252205e-07,3.0778028e-07,2.0063453e-08,1.6028207e-07,5.8279693e-07,2.7045098e-07,8.604402e-07,3.912428e-07,1.4788748e-07,1.3403405e-07,1.939843e-07,2.1056621e-08,3.8252983e-07,4.6240893e-07,5.1698953e-07,6.9409725e-07,9.440082e-07,3.0573574e-08,9.3605195e-08,9.763426e-07,1.2163655e-06,5.341499e-07,2.1751111e-07,3.3993274e-07,2.657289e-07
L1186,3.1542731e-07,3.0198134e-07,5.6315912e-08,3.8006692e-07,1.7677667e-07,5.206384e-07,6.761693e-07,5.5137207e-07,4.4397893e-07,2.956658e-07,2.4351175e-07,1.3943645e-07,1.4426769e-07,4.954636e-07,4.020403e-07,4.2410102e-07,1.3236422e-07,3.8419967e-07,2.4144538e-07,6.76373e-08,2.2118911e-08,4.3492764e-07,6.148184e-07,2.6865746e-07,8.425559e-08,3.0573574e-07,5.849288e-07,1.8489663e-07,1.0164804e-06,5.0492235e-07,1.0523945e-07,6.926712e-08,7.049821e-07,1.3381941e-07,2.468587e-07,3.3859396e-07,4.785543e-07,6.611808e-07,9.537907e-07,1.3387762e-08,1.5459955e-07,8.116767e-07,1.0838558e-06,5.4054544e-07,2.2162567e-07,3.1333184e-07,3.282039e-07
L1211,7.074559e-07,2.0919833e-07,3.806781e-08,1.9557774e-07,1.6915146e-07,3.5972334e-07,8.646166e-07,8.4831845e-07,1.9418076e-07,2.491288e-07,8.7195076e-07,1.0366784e-06,4.61936e-07,7.0687383e-07,8.8859815e-07,1.7310958e-07,4.2200554e-07,2.9150397e-07,1.5603146e-06,8.014031e-07,1.557637e-07,7.7765435e-08,1.2094388e-06,1.9407598e-06,1.9685831e-07,7.163035e-07,2.895249e-07,4.4261105e-07,1.7066486e-07,1.1373777e-07,1.2734672e-06,7.4587297e-07,2.831046e-05,1.6132952e-05,2.8911745e-06,2.3696339e-06,8.3248597e-07,6.231712e-07,2.8549694e-06,1.124572e-07,2.994202e-07,2.378365e-06,2.4113106e-06,8.96398e-09,7.575145e-07,1.6076956e-06,3.996538e-07
L1212,7.894152e-06,9.092444e-06,2.2114546e-06,6.1636383e-06,2.7339265e-06,1.1905591e-05,5.319889e-06,9.3039125e-06,1.4930847e-06,1.6224833e-05,1.7845305e-06,4.8033835e-06,1.9377621e-05,1.6425329e-06,2.1328917e-05,1.5717495e-05,8.709205e-06,8.834264e-06,1.7910847e-05,3.9922597e-06,1.4321122e-06,7.052149e-07,3.9874576e-06,1.5232945e-07,6.5950153e-06,1.0510441e-05,4.986272e-06,1.3917772e-05,2.3394969e-05,7.650873e-06,1.4711986e-06,1.272501e-05,4.3539738e-05,3.0511437e-05,5.93983e-06,5.8312435e-06,4.4962508e-07,8.817442e-06,1.2994249e-05,9.117473e-06,1.2710574e-05,9.2767e-06,3.3890246e-06,1.0492455e-05,1.1537806e-05,5.7202124e-06,5.9239683e-06
