Link,Length,Coef,aux,Link_id,Length_,Leak_id
L1380,158.22,0.00042,2,L1380_2,26.42,Leak_472
L1381,26.54,0.00111,0,L1381,26.54,Leak_473
L1383,128.53,0.00347,0,L1383,128.53,Leak_474
L1385,47.83,0.00227,0,L1385,47.83,Leak_475
L1385,156.34,0.0019,1,L1385_1,108.51,Leak_476
L1385,207.92,0.00231,2,L1385_2,51.58,Leak_477
L1389,42.91,0.00053,0,L1389,42.91,Leak_478
L1389,86.37,0.00051,1,L1389_1,43.46,Leak_479
L139,2.66,0.00001,0,L139,2.66,Leak_480
L1390,46.22,0.02553,0,L1390,46.22,Leak_481
L1392,80.57,0.00046,0,L1392,80.57,Leak_482
L1392,86.21,0.00051,1,L1392_1,5.64,Leak_483
L1392,87.7,0.00045,2,L1392_2,1.49,Leak_484
L1393,2.23,0.00018,0,L1393,2.23,Leak_485
L1394,98.89,0.01032,0,L1394,98.89,Leak_486
L1395,88.88,0.00052,0,L1395,88.88,Leak_487
L1395,110.12,0.00052,1,L1395_1,21.24,Leak_488
L1395,131.78,0.00053,2,L1395_2,21.66,Leak_489
L1396,34.75,0.0018,0,L1396,34.75,Leak_490
L1398,3.02,0.00033,0,L1398,3.02,Leak_491
L1398,82.7,0.00035,1,L1398_1,79.68,Leak_492
L1399,46.61,0.00129,0,L1399,46.61,Leak_493
L1399,58.05,0.00145,1,L1399_1,11.44,Leak_494
L14,59.79,0.001,0,L14,59.79,Leak_495
L1400,36.91,0.00059,0,L1400,36.91,Leak_496
L1400,70.26,0.0005,1,L1400_1,33.35,Leak_497
L1400,93.54,0.00058,2,L1400_2,23.28,Leak_498
L1402,9.23,0.0008,0,L1402,9.23,Leak_499
L1402,13.26,0.00079,1,L1402_1,4.03,Leak_500
L1404,31.64,0.00115,0,L1404,31.64,Leak_501
L1405,19.43,0.00046,0,L1405,19.43,Leak_502
L1405,21.73,0.00051,1,L1405_1,2.3,Leak_503
L1406,201.64,0.00321,0,L1406,201.64,Leak_504
L1407,16.06,0.0011,0,L1407,16.06,Leak_505
L1411,8.12,0.00069,0,L1411,8.12,Leak_506
L1411,16.7,0.0006,1,L1411_1,8.58,Leak_507
L1411,26.11,0.0468,2,L1411_2,9.41,Leak_508
L1415,52.2,0.0009,0,L1415,52.2,Leak_509
L1415,54.21,0.00087,1,L1415_1,2.01,Leak_510
L1415,100.38,0.00081,2,L1415_2,46.17,Leak_511
L1415,120.61,0.00091,3,L1415_3,20.23,Leak_512
L1418,32.06,0.0014,0,L1418,32.06,Leak_513
L142,11.18,0.00144,0,L142,11.18,Leak_514
L1420,16.77,0.00017,0,L1420,16.77,Leak_515
L1422,5.58,0.00048,0,L1422,5.58,Leak_516
L1422,40.22,0.00054,1,L1422_1,34.64,Leak_517
L1423,15.91,0.00183,0,L1423,15.91,Leak_518
L1425,2.15,0.00014,0,L1425,2.15,Leak_519
L1428,32.85,0.00069,0,L1428,32.85,Leak_520
L1428,86.58,0.0007,1,L1428_1,53.73,Leak_521
L1429,53.46,0.00036,0,L1429,53.46,Leak_522
L143,15.99,0.0013,0,L143,15.99,Leak_523
L1431,12.16,0.0016,0,L1431,12.16,Leak_524
L1433,99.23,0.03223,0,L1433,99.23,Leak_525
L1435,34.19,0.00324,0,L1435,34.19,Leak_526
L1436,296.31,0.00142,0,L1436,296.31,Leak_527
L1436,298.12,0.00142,1,L1436_1,1.81,Leak_528
L1437,12.39,0.000025,0,L1437,12.39,Leak_529
L1438,19.7,0.00048,0,L1438,19.7,Leak_530
L1442,132.71,0.00591,0,L1442,132.71,Leak_531
L1443,25.65,0.00818,0,L1443,25.65,Leak_532
L1443,30.67,0.0083,1,L1443_1,5.02,Leak_533
L1444,98.28,0.00157,0,L1444,98.28,Leak_534
L1444,141.78,0.00178,1,L1444_1,43.5,Leak_535
L1444,184.29,0.00179,2,L1444_2,42.51,Leak_536
L1447,22.44,0.00047,0,L1447,22.44,Leak_537
L1449,42.11,0.00063,0,L1449,42.11,Leak_538
L1449,63.65,0.00068,1,L1449_1,21.54,Leak_539
L145,82.39,0.02416,0,L145,82.39,Leak_540
L1450,55.44,0.00085,0,L1450,55.44,Leak_541
L1450,77.99,0.00081,1,L1450_1,22.55,Leak_542
L1451,19.62,0.00055,0,L1451,19.62,Leak_543
L1451,62.01,0.00056,1,L1451_1,42.39,Leak_544
L1452,134.9,0.00363,0,L1452,134.9,Leak_545
L1453,30.43,0.00827,0,L1453,30.43,Leak_546
L1453,132.68,0.00731,1,L1453_1,102.25,Leak_547
L1453,575.21,0.00816,2,L1453_2,442.53,Leak_548
L1455,41.63,0.00104,0,L1455,41.63,Leak_549
L1455,129.8,0.00124,1,L1455_1,88.17,Leak_550
L1456,87.14,0.00633,0,L1456,87.14,Leak_551
L1458,0.01,0.0022,0,L1458,0.01,Leak_552
L1458,144.83,0.0022,1,L1458_1,144.82,Leak_553
L146,83.02,0.00126,0,L146,83.02,Leak_554
L1460,259.87,0.00426,0,L1460,259.87,Leak_555
L1460,555.54,0.00364,1,L1460_1,295.67,Leak_556
L1460,735.18,0.00374,2,L1460_2,179.64,Leak_557
L1461,10.91,0.00055,0,L1461,10.91,Leak_558
L1462,7.04,0.00048,0,L1462,7.04,Leak_559
L1465,9.6,0.0009,0,L1465,9.6,Leak_560
L1465,24.28,0.00098,1,L1465_1,14.68,Leak_561
L1466,31.01,0.00003,0,L1466,31.01,Leak_562
L1467,77.89,0.0006,0,L1467,77.89,Leak_563
L1467,180.33,0.00058,1,L1467_1,102.44,Leak_564
L1467,187.4,0.00061,2,L1467_2,7.07,Leak_565
L1468,54.53,0.0018,0,L1468,54.53,Leak_566
L1470,108.97,0.00197,0,L1470,108.97,Leak_567
L1471,4.9,0.00108,0,L1471,4.9,Leak_568
L1471,23.05,0.00116,1,L1471_1,18.15,Leak_569
L1471,128.47,0.00107,2,L1471_2,105.42,Leak_570
L1471,151.53,0.00107,3,L1471_3,23.06,Leak_571
L1473,7.29,0.00034,0,L1473,7.29,Leak_572
L1474,91.09,0.00155,0,L1474,91.09,Leak_573
L1474,186.48,0.00161,1,L1474_1,95.39,Leak_574
L1474,245.06,0.00134,2,L1474_2,58.58,Leak_575
L1476,1.87,0.00015,0,L1476,1.87,Leak_576
L1476,74.24,0.00016,1,L1476_1,72.37,Leak_577
L1476,81.91,0.00014,2,L1476_2,7.67,Leak_578
L1478,6.47,0.00023,0,L1478,6.47,Leak_579
L1478,17.78,0.00023,1,L1478_1,11.31,Leak_580
L1479,26.58,0.00068,0,L1479,26.58,Leak_581
L148,26.71,0.00067,0,L148,26.71,Leak_582
L1480,6.11,0.00035,0,L1480,6.11,Leak_583
L1480,21.06,0.00035,1,L1480_1,14.95,Leak_584
L1481,70.67,0.00092,0,L1481,70.67,Leak_585
L1482,73.74,0.00112,0,L1482,73.74,Leak_586
L1484,7.43,0.00015,0,L1484,7.43,Leak_587
L1484,9.45,0.00015,1,L1484_1,2.02,Leak_588
L1485,8.88,0.00116,0,L1485,8.88,Leak_589
L1485,47.02,0.00107,1,L1485_1,38.14,Leak_590
L1487,13.71,0.00178,0,L1487,13.71,Leak_591
L1489,10.56,0.00015,0,L1489,10.56,Leak_592
L1490,3.35,0.00015,0,L1490,3.35,Leak_593
L1491,35.19,0.00505,0,L1491,35.19,Leak_594
L1492,12.58,0.00092,0,L1492,12.58,Leak_595
L1492,39.63,0.00075,1,L1492_1,27.05,Leak_596
L1492,44.06,0.00081,2,L1492_2,4.43,Leak_597
L1493,58.34,0.00031,0,L1493,58.34,Leak_598
L1493,65.27,0.00029,1,L1493_1,6.93,Leak_599
L1494,0.99,0.00025,0,L1494,0.99,Leak_600
L1494,35.53,0.00028,1,L1494_1,34.54,Leak_601
L1495,7.45,0.0008,0,L1495,7.45,Leak_602
L1495,28.98,0.0008,1,L1495_1,21.53,Leak_603
L1495,33.26,0.00073,2,L1495_2,4.28,Leak_604
L1495,117.89,0.0007,3,L1495_3,84.63,Leak_605
L1496,534.38,0.00445,0,L1496,534.38,Leak_606
L1496,846.38,0.00429,1,L1496_1,312,Leak_607
L1497,5.96,0.00016,0,L1497,5.96,Leak_608
L1499,8.81,0.00067,0,L1499,8.81,Leak_609
L1499,10.73,0.00072,1,L1499_1,1.92,Leak_610
L1500,7.99,0.00208,0,L1500,7.99,Leak_611
L1500,93.21,0.0022,1,L1500_1,85.22,Leak_612
L1500,241.14,0.00201,2,L1500_2,147.93,Leak_613
L1501,80.64,0.00075,0,L1501,80.64,Leak_614
L1501,108.33,0.00071,1,L1501_1,27.69,Leak_615
L1501,120.56,0.00077,2,L1501_2,12.23,Leak_616
L1502,5.52,0.00036,0,L1502,5.52,Leak_617
L1502,37.97,0.00039,1,L1502_1,32.45,Leak_618
L1504,17.67,0.0004,0,L1504,17.67,Leak_619
L1506,98.92,0.00041,0,L1506,98.92,Leak_620
L1506,112.43,0.00043,1,L1506_1,13.51,Leak_621
L1507,185.54,0.06639,0,L1507,185.54,Leak_622
L1507,275.08,0.01029,1,L1507_1,89.54,Leak_623
L1508,11.29,0.00005,0,L1508,11.29,Leak_624
L1509,76.8,0.00362,0,L1509,76.8,Leak_625
L1510,9.29,0.00116,0,L1510,9.29,Leak_626
L1510,17.93,0.00138,1,L1510_1,8.64,Leak_627
L1510,24.34,0.00139,2,L1510_2,6.41,Leak_628
L1510,182.05,0.00137,3,L1510_3,157.71,Leak_629
L1511,11.63,0.00205,0,L1511,11.63,Leak_630
L1515,25.17,0.00054,0,L1515,25.17,Leak_631
L1515,37.6,0.0006,1,L1515_1,12.43,Leak_632
L1515,107.74,0.00054,2,L1515_2,70.14,Leak_633
L1516,18.86,0.00109,0,L1516,18.86,Leak_634
L1516,99.59,0.00108,1,L1516_1,80.73,Leak_635
L1516,109.94,0.00112,2,L1516_2,10.35,Leak_636
L1518,86.55,0.01627,0,L1518,86.55,Leak_637
L1521,10.83,0.00083,0,L1521,10.83,Leak_638
L1522,153.48,0.00801,0,L1522,153.48,Leak_639
L1523,48.73,0.00038,0,L1523,48.73,Leak_640
L1523,71.35,0.00036,1,L1523_1,22.62,Leak_641
L1523,114.03,0.00042,2,L1523_2,42.68,Leak_642
L1525,33.17,0.00025,0,L1525,33.17,Leak_643
L1525,38.15,0.00022,1,L1525_1,4.98,Leak_644
L1526,3.01,0.00162,0,L1526,3.01,Leak_645
L1527,104.42,0.00188,0,L1527,104.42,Leak_646
L1527,136.51,0.00222,1,L1527_1,32.09,Leak_647
L1528,2.03,0.000051,0,L1528,2.03,Leak_648
L1530,216.01,0.00742,0,L1530,216.01,Leak_649
L1531,48.65,0.00226,0,L1531,48.65,Leak_650
L1532,21.55,0.00051,0,L1532,21.55,Leak_651
L1532,89.23,0.00056,1,L1532_1,67.68,Leak_652
L1533,23.92,0.00094,0,L1533,23.92,Leak_653
L1533,48.4,0.00089,1,L1533_1,24.48,Leak_654
L1534,3.65,0.00056,0,L1534,3.65,Leak_655
L1534,38.85,0.00067,1,L1534_1,35.2,Leak_656
L1535,54.45,0.001,0,L1535,54.45,Leak_657
L1536,6.99,0.00102,0,L1536,6.99,Leak_658
L1536,62.51,0.00104,1,L1536_1,55.52,Leak_659
L1537,64.21,0.00113,0,L1537,64.21,Leak_660
L1539,13.08,0.00072,0,L1539,13.08,Leak_661
L1539,66.84,0.0007,1,L1539_1,53.76,Leak_662
L1539,94.95,0.00067,2,L1539_2,28.11,Leak_663
L1540,71.48,0.00077,0,L1540,71.48,Leak_664
L1541,4,0.00095,0,L1541,4,Leak_665
L1541,119.51,0.00106,1,L1541_1,115.51,Leak_666
L1542,11.73,0.00154,0,L1542,11.73,Leak_667
L1543,158.89,0.00158,0,L1543,158.89,Leak_668
L1543,200.62,0.00146,1,L1543_1,41.73,Leak_669
L1543,248.58,0.00139,2,L1543_2,47.96,Leak_670
L1543,401.01,0.00141,3,L1543_3,152.43,Leak_671
L1544,65.4,0.00173,0,L1544,65.4,Leak_672
L1544,82.96,0.00157,1,L1544_1,17.56,Leak_673
L1546,96.31,0.00332,0,L1546,96.31,Leak_674
L1546,107.27,0.0032,1,L1546_1,10.96,Leak_675
L1546,167.68,0.00307,2,L1546_2,60.41,Leak_676
L1547,41.6,0.00124,0,L1547,41.6,Leak_677
L1548,66.83,0.00312,0,L1548,66.83,Leak_678
L1548,156.54,0.00301,1,L1548_1,89.71,Leak_679
L1549,53.42,0.00021,0,L1549,53.42,Leak_680
L1549,61.11,0.0002,1,L1549_1,7.69,Leak_681
L155,17.36,0.00072,0,L155,17.36,Leak_682
L1550,31.36,0.00076,0,L1550,31.36,Leak_683
L1550,79.58,0.00083,1,L1550_1,48.22,Leak_684
L1551,8.3,0.00184,0,L1551,8.3,Leak_685
L1551,109.32,0.00173,1,L1551_1,101.02,Leak_686
L1552,76.42,0.00198,0,L1552,76.42,Leak_687
L1555,33.66,0.00041,0,L1555,33.66,Leak_688
L1555,44.61,0.00035,1,L1555_1,10.95,Leak_689
L1555,122.08,0.00037,2,L1555_2,77.47,Leak_690
L1555,130.1,0.00034,3,L1555_3,8.02,Leak_691
L1556,186,0.0011,0,L1556,186,Leak_692
L1557,57.7,0.00171,0,L1557,57.7,Leak_693
L1558,41.1,0.00465,0,L1558,41.1,Leak_694
L1559,402.48,0.01357,0,L1559,402.48,Leak_695
L156,14.43,0.00079,0,L156,14.43,Leak_696
L1560,7.94,0.00118,0,L1560,7.94,Leak_697
L1560,109.18,0.00107,1,L1560_1,101.24,Leak_698
L1563,27.25,0.00271,0,L1563,27.25,Leak_699
L1565,16.48,0.00021,0,L1565,16.48,Leak_700
L1565,16.9,0.0002,1,L1565_1,0.42,Leak_701
L1566,42.47,0.00135,0,L1566,42.47,Leak_702
L1566,127.05,0.00137,1,L1566_1,84.58,Leak_703
L1566,130.53,0.00119,2,L1566_2,3.48,Leak_704
L1566,299.71,0.00136,3,L1566_3,169.18,Leak_705
L1569,73.26,0.00345,0,L1569,73.26,Leak_706
L1569,192.3,0.00293,1,L1569_1,119.04,Leak_707
L157,2.28,0.00017,0,L157,2.28,Leak_708
L1572,40.18,0.00066,0,L1572,40.18,Leak_709
L1572,47.77,0.00073,1,L1572_1,7.59,Leak_710
L1573,2.82,0.000031,0,L1573,2.82,Leak_711
L1574,35.39,0.00176,0,L1574,35.39,Leak_712
L1574,84.07,0.00179,1,L1574_1,48.68,Leak_713
L1574,284.68,0.00166,2,L1574_2,200.61,Leak_714
L1574,304.6,0.00175,3,L1574_3,19.92,Leak_715
L1574,347.92,0.00177,4,L1574_4,43.32,Leak_716
L1575,155.69,0.00529,0,L1575,155.69,Leak_717
L1576,51.61,0.0023,0,L1576,51.61,Leak_718
L1576,177.29,0.002,1,L1576_1,125.68,Leak_719
L1577,16.22,0.00027,0,L1577,16.22,Leak_720
L1577,19.34,0.00026,1,L1577_1,3.12,Leak_721
L1578,107.85,0.00081,0,L1578,107.85,Leak_722
L1578,111.21,0.00089,1,L1578_1,3.36,Leak_723
L158,52.03,0.00032,0,L158,52.03,Leak_724
L158,53.21,0.00029,1,L158_1,1.18,Leak_725
L1582,113.29,0.00606,0,L1582,113.29,Leak_726
L1585,61.89,0.00484,0,L1585,61.89,Leak_727
L1586,41.63,0.0017,0,L1586,41.63,Leak_728
L1586,157.85,0.00168,1,L1586_1,116.22,Leak_729
L1586,242.15,0.00155,2,L1586_2,84.3,Leak_730
L1586,418.49,0.00141,3,L1586_3,176.34,Leak_731
L1586,489.07,0.00161,4,L1586_4,70.58,Leak_732
L1587,126.99,0.0029,0,L1587,126.99,Leak_733
L1587,245.9,0.0026,1,L1587_1,118.91,Leak_734
L1587,256.88,0.00268,2,L1587_2,10.98,Leak_735
L1587,343.39,0.00301,3,L1587_3,86.51,Leak_736
L1588,25.02,0.00432,0,L1588,25.02,Leak_737
L1588,316.26,0.00467,1,L1588_1,291.24,Leak_738
L1588,457.09,0.00508,2,L1588_2,140.83,Leak_739
L1588,576.46,0.00526,3,L1588_3,119.37,Leak_740
L1589,129.75,0.00128,0,L1589,129.75,Leak_741
L1590,3.5,0.00418,0,L1590,3.5,Leak_742
L1590,350.05,0.00431,1,L1590_1,346.55,Leak_743
L1591,14.01,0.00018,0,L1591,14.01,Leak_744
L1591,71.46,0.00016,1,L1591_1,57.45,Leak_745
L1592,24.03,0.00047,0,L1592,24.03,Leak_746
L1592,109.49,0.00048,1,L1592_1,85.46,Leak_747
L1594,6.58,0.00113,0,L1594,6.58,Leak_748
L1594,82.29,0.00098,1,L1594_1,75.71,Leak_749
L1594,145.39,0.00104,2,L1594_2,63.1,Leak_750
L1596,58.23,0.00314,0,L1596,58.23,Leak_751
L1596,205.81,0.00299,1,L1596_1,147.58,Leak_752
L1597,148.93,0.00038,0,L1597,148.93,Leak_753
L1597,171.52,0.00038,1,L1597_1,22.59,Leak_754
L1598,55.69,0.05012,0,L1598,55.69,Leak_755
L1598,128.95,0.00818,1,L1598_1,73.26,Leak_756
L1599,127.28,0.0024,0,L1599,127.28,Leak_757
L16,41.64,0.00026,0,L16,41.64,Leak_758
L16,73.38,0.00029,1,L16_1,31.74,Leak_759
L1601,185.63,0.00653,0,L1601,185.63,Leak_760
L1602,105.07,0.00244,0,L1602,105.07,Leak_761
L1605,71.05,0.00684,0,L1605,71.05,Leak_762
L1605,102.21,0.05512,1,L1605_1,31.16,Leak_763
L1606,9.99,0.00519,0,L1606,9.99,Leak_764
L1607,40.97,0.00117,0,L1607,40.97,Leak_765
L161,16.44,0.00033,0,L161,16.44,Leak_766
L161,23.53,0.00035,1,L161_1,7.09,Leak_767
L1613,59.87,0.0001,0,L1613,59.87,Leak_768
L1614,32.82,0.00156,0,L1614,32.82,Leak_769
L1614,46.69,0.00136,1,L1614_1,13.87,Leak_770
L1614,159.48,0.00155,2,L1614_2,112.79,Leak_771
L1614,321.61,0.00142,3,L1614_3,162.13,Leak_772
L1616,278.11,0.00624,0,L1616,278.11,Leak_773
L1617,23.64,0.00101,0,L1617,23.64,Leak_774
L1617,51.77,0.00107,1,L1617_1,28.13,Leak_775
L1618,47.26,0.00135,0,L1618,47.26,Leak_776
L1618,59.62,0.00139,1,L1618_1,12.36,Leak_777
L1618,233.98,0.00139,2,L1618_2,174.36,Leak_778
L1619,4.87,0.00024,0,L1619,4.87,Leak_779
L162,10.71,0.00047,0,L162,10.71,Leak_780
L1620,91.52,0.00093,0,L1620,91.52,Leak_781
L1620,95.59,0.00103,1,L1620_1,4.07,Leak_782
L1620,105.34,0.00103,2,L1620_2,9.75,Leak_783
L1623,330.85,0.00419,0,L1623,330.85,Leak_784
L1624,43.42,0.00185,0,L1624,43.42,Leak_785
L1624,109.69,0.00167,1,L1624_1,66.27,Leak_786
L1624,181.41,0.00176,2,L1624_2,71.72,Leak_787
L1625,7.89,0.00223,0,L1625,7.89,Leak_788
L1627,51.68,0.00149,0,L1627,51.68,Leak_789
L163,16.5,0.0439,0,L163,16.5,Leak_790
L163,23.57,0.00088,1,L163_1,7.07,Leak_791
L1630,2.23,0.0001,0,L1630,2.23,Leak_792
L1634,6.05,0.00017,0,L1634,6.05,Leak_793
L1635,24.62,0.00064,0,L1635,24.62,Leak_794
L1635,42.08,0.00058,1,L1635_1,17.46,Leak_795
L1636,30.1,0.00257,0,L1636,30.1,Leak_796
L1636,92.8,0.04576,1,L1636_1,62.7,Leak_797
L1636,111.61,0.00248,2,L1636_2,18.81,Leak_798
L1637,85.66,0.00235,0,L1637,85.66,Leak_799
L1637,162.15,0.00219,1,L1637_1,76.49,Leak_800
L1639,9.62,0.00014,0,L1639,9.62,Leak_801
L1639,22.7,0.00015,1,L1639_1,13.08,Leak_802
L164,0.38,0.000077,0,L164,0.38,Leak_803
L1641,128.42,0.00139,0,L1641,128.42,Leak_804
L1641,153.16,0.00167,1,L1641_1,24.74,Leak_805
L1643,11.32,0.00223,0,L1643,11.32,Leak_806
L1645,18.96,0.00065,0,L1645,18.96,Leak_807
L1645,31.31,0.01834,1,L1645_1,12.35,Leak_808
L1647,31.71,0.00086,0,L1647,31.71,Leak_809
L1648,7.31,0.00019,0,L1648,7.31,Leak_810
L1649,42.84,0.00166,0,L1649,42.84,Leak_811
L165,27.85,0.00118,0,L165,27.85,Leak_812
L1652,16.45,0.00064,0,L1652,16.45,Leak_813
L1653,168.01,0.00268,0,L1653,168.01,Leak_814
L1654,12.91,0.00074,0,L1654,12.91,Leak_815
L1656,129.9,0.00207,0,L1656,129.9,Leak_816
L1658,9.8,0.00111,0,L1658,9.8,Leak_817
L1660,10.19,0.03354,0,L1660,10.19,Leak_818
L1660,43.47,0.00151,1,L1660_1,33.28,Leak_819
L1661,26.64,0.00012,0,L1661,26.64,Leak_820
L1661,27.66,0.00012,1,L1661_1,1.02,Leak_821
L1662,40.07,0.00113,0,L1662,40.07,Leak_822
L1662,62.12,0.00229,1,L1662_1,22.05,Leak_823
L1662,132.75,0.00105,2,L1662_2,70.63,Leak_824
L1663,25.94,0.00038,0,L1663,25.94,Leak_825
L1666,18.05,0.00182,0,L1666,18.05,Leak_826
L1667,9.43,0.00028,0,L1667,9.43,Leak_827
L1667,19.73,0.00026,1,L1667_1,10.3,Leak_828
L167,55.54,0.00195,0,L167,55.54,Leak_829
L1670,75.47,0.00117,0,L1670,75.47,Leak_830
L1671,75.75,0.00183,0,L1671,75.75,Leak_831
L1673,0.47,0.00016,0,L1673,0.47,Leak_832
L1674,2.31,0.00399,0,L1674,2.31,Leak_833
L1676,36,0.00071,0,L1676,36,Leak_834
L1676,63.32,0.00062,1,L1676_1,27.32,Leak_835
L1676,111.05,0.00074,2,L1676_2,47.73,Leak_836
L1678,39.89,0.00182,0,L1678,39.89,Leak_837
L1680,46.75,0.01104,0,L1680,46.75,Leak_838
L1682,69.88,0.08323,0,L1682,69.88,Leak_839
L1683,5.28,0.00413,0,L1683,5.28,Leak_840
L1684,13.5,0.00151,0,L1684,13.5,Leak_841
L1685,39.42,0.00166,0,L1685,39.42,Leak_842
L1686,3.54,0.00056,0,L1686,3.54,Leak_843
L1686,5.13,0.00049,1,L1686_1,1.59,Leak_844
L1686,87.47,0.00052,2,L1686_2,82.34,Leak_845
L1688,4.04,0.00151,0,L1688,4.04,Leak_846
L1688,29.17,0.00147,1,L1688_1,25.13,Leak_847
L169,36.79,0.00029,0,L169,36.79,Leak_848
L169,38.14,0.00029,1,L169_1,1.35,Leak_849
L1690,14.34,0.00033,0,L1690,14.34,Leak_850
L1690,20.22,0.00038,1,L1690_1,5.88,Leak_851
L1691,29.08,0.00064,0,L1691,29.08,Leak_852
L1692,6.76,0.00035,0,L1692,6.76,Leak_853
L1692,14.62,0.00029,1,L1692_1,7.86,Leak_854
L1695,84.15,0.00102,0,L1695,84.15,Leak_855
L1695,188.8,0.0011,1,L1695_1,104.65,Leak_856
L1695,206.18,0.00111,2,L1695_2,17.38,Leak_857
L1695,263.98,0.00108,3,L1695_3,57.8,Leak_858
L1695,303.34,0.00101,4,L1695_4,39.36,Leak_859
L1697,69.66,0.00192,0,L1697,69.66,Leak_860
L1698,91.03,0.00135,0,L1698,91.03,Leak_861
L1698,173.04,0.00156,1,L1698_1,82.01,Leak_862
L1699,131.79,0.00346,0,L1699,131.79,Leak_863
L170,1.8,0.05022,0,L170,1.8,Leak_864
L1703,65.85,0.00105,0,L1703,65.85,Leak_865
L1703,93,0.00103,1,L1703_1,27.15,Leak_866
L1703,95.36,0.03173,2,L1703_2,2.36,Leak_867
L1703,114.81,0.0009,3,L1703_3,19.45,Leak_868
L1704,52.93,0.02133,0,L1704,52.93,Leak_869
L1705,11.47,0.00089,0,L1705,11.47,Leak_870
L1707,15.62,0.00045,0,L1707,15.62,Leak_871
L1707,22.74,0.00042,1,L1707_1,7.12,Leak_872
L1708,23.76,0.00269,0,L1708,23.76,Leak_873
L1708,146.61,0.00322,1,L1708_1,122.85,Leak_874
L1709,22.55,0.00243,0,L1709,22.55,Leak_875
L171,7.03,0.0002,0,L171,7.03,Leak_876
L1711,45.9,0.00165,0,L1711,45.9,Leak_877
L1712,21.29,0.00036,0,L1712,21.29,Leak_878
L1714,69.29,0.00177,0,L1714,69.29,Leak_879
L1715,199.12,0.03556,0,L1715,199.12,Leak_880
L1715,218.39,0.00845,1,L1715_1,19.27,Leak_881
L1716,27.38,0.00191,0,L1716,27.38,Leak_882
L1717,104.37,0.00174,0,L1717,104.37,Leak_883
L1723,18.63,0.00083,0,L1723,18.63,Leak_884
L1723,20.44,0.00083,1,L1723_1,1.81,Leak_885
L1723,38,0.00083,2,L1723_2,17.56,Leak_886
L1724,9.21,0.00156,0,L1724,9.21,Leak_887
L1725,65.78,0.00146,0,L1725,65.78,Leak_888
L1726,37.83,0.00118,0,L1726,37.83,Leak_889
L1728,35.02,0.0299,0,L1728,35.02,Leak_890
L1729,8.68,0.00021,0,L1729,8.68,Leak_891
L1730,4.99,0.00257,0,L1730,4.99,Leak_892
L1733,16.21,0.00117,0,L1733,16.21,Leak_893
L1734,0.13,0.00148,0,L1734,0.13,Leak_894
L1737,146.31,0.00645,0,L1737,146.31,Leak_895
L1738,323.92,0.00041,0,L1738,323.92,Leak_896
L1738,354.4,0.0004,1,L1738_1,30.48,Leak_897
L1739,92.36,0.00071,0,L1739,92.36,Leak_898
L1739,142.74,0.00073,1,L1739_1,50.38,Leak_899
L174,10.17,0.00087,0,L174,10.17,Leak_900
L1740,15.51,0.00138,0,L1740,15.51,Leak_901
L1744,66.63,0.00036,0,L1744,66.63,Leak_902
L1744,155.59,0.00038,1,L1744_1,88.96,Leak_903
L1746,82.57,0.00096,0,L1746,82.57,Leak_904
L1746,89.07,0.00089,1,L1746_1,6.5,Leak_905
L1747,6.81,0.00031,0,L1747,6.81,Leak_906
L1747,33.54,0.00035,1,L1747_1,26.73,Leak_907
L1748,302.74,0.00365,0,L1748,302.74,Leak_908
L1748,335.4,0.00387,1,L1748_1,32.66,Leak_909
L1748,383.35,0.00378,2,L1748_2,47.95,Leak_910
L175,15.94,0.0005,0,L175,15.94,Leak_911
L175,40.64,0.00052,1,L175_1,24.7,Leak_912
L1751,32.23,0.00358,0,L1751,32.23,Leak_913
L1752,9.16,0.00151,0,L1752,9.16,Leak_914
L1754,32.25,0.00117,0,L1754,32.25,Leak_915
L1754,108.34,0.00136,1,L1754_1,76.09,Leak_916
L1759,133.35,0.00126,0,L1759,133.35,Leak_917
L1759,198.67,0.00123,1,L1759_1,65.32,Leak_918
L1759,213.29,0.00107,2,L1759_2,14.62,Leak_919
L1760,33.74,0.00202,0,L1760,33.74,Leak_920
L1760,117.88,0.0022,1,L1760_1,84.14,Leak_921
L1762,54.9,0.00183,0,L1762,54.9,Leak_922
L1762,106.85,0.00162,1,L1762_1,51.95,Leak_923
L1762,221.57,0.00183,2,L1762_2,114.72,Leak_924
L1762,237.3,0.00178,3,L1762_3,15.73,Leak_925
L1763,12.24,0.00182,0,L1763,12.24,Leak_926
L1763,82.55,0.00172,1,L1763_1,70.31,Leak_927
L1763,99.77,0.00184,2,L1763_2,17.22,Leak_928
L1765,24.62,0.0004,0,L1765,24.62,Leak_929
L1768,63.47,0.000037,0,L1768,63.47,Leak_930
L1769,61.65,0.00291,0,L1769,61.65,Leak_931
L1770,189.52,0.00028,0,L1770,189.52,Leak_932
L1770,240.27,0.00031,1,L1770_1,50.75,Leak_933
L1771,31.21,0.01765,0,L1771,31.21,Leak_934
L1772,142.47,0.00499,0,L1772,142.47,Leak_935
L1774,19.36,0.00164,0,L1774,19.36,Leak_936
L1774,159.7,0.00177,1,L1774_1,140.34,Leak_937
L1774,181.04,0.00193,2,L1774_2,21.34,Leak_938
L1774,194.59,0.00191,3,L1774_3,13.55,Leak_939
L1777,1.71,0.000025,0,L1777,1.71,Leak_940
L1778,74.77,0.00102,0,L1778,74.77,Leak_941
