,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L1082,4.0381565e-10,3.6379788e-11,1.6370905e-10,8.0035534e-11,1.7462298e-10,1.05501385e-10,3.637979e-12,9.822543e-11,3.637979e-12,2.910383e-11,9.458745e-11,1.8189894e-11,5.4569682e-11,3.637979e-12,1.8189894e-10,1.5643309e-10,2.1827873e-11,7.6397555e-11,9.094947e-11,2.0372681e-10,1.05501385e-10,5.4569682e-11,4.7293724e-11,2.1827873e-11,7.275958e-12,7.275958e-12,1.05501385e-10,1.3096724e-10,4.0017767e-11,9.458745e-11,4.0017767e-11,3.274181e-11,5.4569682e-11,1.09139364e-10,4.7293724e-11,6.184564e-11,0.0,1.1641532e-10,2.5465852e-11,3.6379788e-11,1.0913936e-11,1.891749e-10
L1098,7.409326e-07,6.129267e-08,3.0702358e-07,1.5326805e-07,3.1998206e-07,1.9320578e-07,9.946234e-09,1.9236904e-07,1.8524588e-08,4.809408e-08,1.766748e-07,2.8201612e-08,9.848736e-08,1.45082595e-08,3.3408287e-07,2.7116766e-07,5.2743417e-08,1.4252146e-07,1.6074773e-07,3.8844883e-07,1.9185245e-07,1.0173244e-07,8.468487e-08,3.3374818e-08,4.2346073e-09,5.529728e-10,1.947119e-07,2.470988e-07,7.410563e-08,1.7513958e-07,5.7880243e-08,5.7880243e-08,1.06563675e-07,2.1752203e-07,1.0003714e-07,1.1812517e-07,9.487849e-09,2.1587039e-07,4.2055035e-08,6.036862e-08,2.1660526e-08,3.339228e-07
L1138,8.6693035e-07,7.112976e-08,3.556197e-07,1.7788261e-07,3.7076825e-07,2.2324093e-07,1.4391844e-08,2.2366294e-07,2.226443e-08,5.5515557e-08,2.0446896e-07,3.2567186e-08,1.14159775e-07,1.6807462e-08,3.8700819e-07,3.141904e-07,6.110349e-08,1.6501872e-07,1.8601713e-07,4.4972694e-07,2.2255699e-07,1.2374949e-07,1.1056545e-07,4.4732587e-08,5.5879354e-09,7.858034e-10,2.2529275e-07,2.8582872e-07,8.5594365e-08,2.0298467e-07,6.676419e-08,6.782648e-08,1.2335659e-07,2.5206828e-07,1.1558586e-07,1.3690442e-07,1.0768417e-08,2.4976907e-07,4.922913e-08,6.980554e-08,2.5058398e-08,3.8693543e-07
L1152,3.5176752e-05,2.2475142e-06,1.8421328e-05,1.0778662e-05,2.220762e-05,9.612879e-06,9.941636e-06,1.8035294e-05,8.1367325e-06,2.4812762e-06,9.031501e-06,1.0952353e-06,4.276866e-06,5.986076e-07,1.8369872e-05,7.18846e-05,2.667075e-06,6.520888e-06,7.809373e-06,2.2433465e-05,1.3652258e-05,5.2715186e-06,8.525327e-06,2.1979213e-06,1.9953586e-07,3.4924597e-09,1.02112535e-05,1.2362376e-05,3.5038684e-06,1.1837343e-05,5.871756e-06,8.929521e-06,7.123919e-06,1.6992446e-05,7.3846895e-06,6.0715247e-06,3.1793024e-06,1.4175195e-05,6.5637287e-06,2.1881424e-06,9.653158e-07,2.3773173e-05
L1168,8.447445e-06,5.701557e-06,3.821915e-06,3.2067765e-06,3.0068913e-06,9.153737e-07,4.8191287e-06,5.9814192e-06,3.7903665e-06,4.0896703e-07,3.3096876e-07,2.977089e-06,3.4458935e-08,8.17189e-06,5.6062127e-06,1.0788208e-06,3.6917627e-06,4.7027133e-06,1.1551427e-05,1.0451768e-06,8.2096085e-07,3.7900172e-06,7.969793e-06,1.016492e-05,3.5727862e-07,2.1865126e-06,7.0651295e-06,1.340406e-06,4.4121407e-06,5.500973e-06,5.341368e-06,7.752329e-06,6.590388e-06,6.843242e-06,4.7936337e-06,2.438901e-07,5.424954e-06,6.8148365e-06,1.1140946e-06,1.1598226e-05,1.370837e-05,9.443611e-06
L128,8.6592627e-07,6.506161e-08,2.419838e-07,1.2115197e-07,2.544184e-07,1.5442492e-07,1.137596e-07,1.3627869e-07,1.4551915e-09,3.923924e-08,1.4324178e-07,2.2308086e-08,8.05594e-08,1.1496013e-08,2.682209e-07,2.160159e-07,4.3823093e-08,1.17492164e-07,1.2907549e-07,3.1059608e-07,1.4845864e-07,2.797533e-07,5.907059e-07,2.6957423e-07,2.701563e-08,7.203198e-10,1.682929e-07,2.1403685e-07,6.4210326e-08,1.4791294e-07,5.4940756e-08,3.149762e-08,8.8584784e-08,1.806402e-07,8.2858605e-08,1.0281656e-07,1.2871169e-08,1.8240826e-07,3.1221134e-08,5.2677933e-08,1.8582796e-08,2.7862552e-07
L143,3.422075e-05,1.5411642e-06,1.3124081e-06,4.4965418e-07,2.4266774e-07,1.249311e-06,1.4845806e-05,9.639189e-08,7.4191485e-07,3.008172e-07,9.565265e-07,1.4761463e-07,5.085021e-07,7.235212e-08,1.7057173e-06,1.334236e-06,2.742163e-07,8.14558e-07,7.7771256e-07,1.765613e-06,6.6735083e-07,5.5855024e-05,,,,,,,,,,,,,,,,,,,,
L1470,5.623733e-07,1.086737e-06,8.985808e-08,1.4883699e-07,9.396026e-07,4.067988e-07,2.1869637e-06,8.570205e-07,1.633307e-07,6.683549e-07,1.4288526e-07,4.4776243e-07,1.4071702e-07,7.280032e-07,1.3045064e-06,6.0963794e-07,4.894391e-07,8.447678e-07,8.128991e-07,4.702888e-07,3.400637e-07,5.982292e-08,4.2033207e-07,4.4603075e-07,8.0691825e-07,4.33065e-07,5.4547854e-07,5.6832505e-06,9.590876e-07,2.1024462e-06,1.8478022e-07,6.7445217e-07,8.990901e-07,9.724754e-07,2.327637e-06,1.9768486e-06,5.749607e-07,1.038934e-06,5.350739e-07,1.1719676e-06,2.0806183e-06,1.5262485e-06
L1485,4.656613e-08,6.1263563e-09,1.9615982e-08,6.6356733e-09,2.3617758e-08,1.0896474e-07,1.3319368e-07,1.3946556e-07,8.0268364e-08,8.758798e-08,2.9016519e-08,2.1798769e-08,9.313226e-09,1.0369695e-07,3.2043317e-08,5.326001e-09,1.9397703e-08,2.1696906e-08,2.1638698e-08,4.2346073e-08,3.929017e-09,8.571078e-09,5.743641e-08,5.1106326e-08,8.425559e-09,8.000643e-08,1.0547228e-07,4.1426392e-07,1.272856e-07,1.911394e-07,2.4592737e-09,6.103073e-08,2.240995e-09,7.6397555e-09,2.0129664e-07,3.7741847e-07,4.6144123e-08,2.2245513e-07,3.608875e-08,4.5780325e-08,7.4382115e-07,5.180482e-09
L1500,7.117982e-06,4.7602225e-07,3.6376296e-06,1.0050135e-06,3.3502001e-06,4.549278e-06,1.3001612e-05,5.3266995e-06,1.4515826e-06,4.417845e-06,1.783832e-06,1.5305122e-06,4.3089967e-06,4.7297217e-06,5.9593003e-06,3.5390258e-07,2.584071e-06,2.7370406e-06,3.0148076e-06,7.306109e-06,9.742798e-07,1.3315585e-06,9.77458e-06,1.0393327e-05,4.0757004e-07,1.6616075e-05,0.00033646345,8.212478e-05,8.474663e-05,7.1660616e-06,7.6001976e-05,4.683796e-06,1.1353171e-05,4.7638896e-06,2.708385e-05,1.0372838e-05,8.213276e-06,3.6845915e-05,2.0878855e-05,5.2860705e-06,2.5240472e-05,2.9766466e-05
L1503,1.5640864e-05,8.63336e-07,8.896459e-06,3.1576492e-06,8.084113e-06,9.180512e-06,2.6785769e-05,1.2010802e-05,1.9636936e-06,1.0750722e-05,5.7006255e-06,3.8663857e-06,5.1565003e-06,1.0764692e-05,1.1579599e-05,3.0570664e-07,3.9024744e-06,3.4614932e-06,7.1548857e-06,1.5001977e-05,4.166737e-06,4.174188e-06,2.1923566e-05,2.8087525e-05,4.390953e-06,6.245775e-05,0.00019426295,0.0002625906,1.9211555e-05,1.5762867e-05,2.147397e-05,5.6874705e-05,1.894543e-06,8.7402295e-06,0.000110675115,5.7763653e-05,5.762023e-05,0.00017715362,9.845826e-05,2.9306859e-05,0.0001179371,0.00012690434
L1509,6.514092e-07,1.4672405e-06,5.633701e-07,4.235044e-07,2.0405932e-06,1.7269631e-06,5.3245312e-06,2.3334724e-06,4.841495e-07,4.3903128e-07,1.8482169e-06,1.0093936e-07,2.3093162e-06,1.5370097e-06,3.1671661e-06,1.6385311e-06,5.815891e-07,8.549541e-07,1.4777324e-06,2.6890702e-06,1.0075746e-07,6.1834e-07,2.2218592e-06,2.2368622e-06,6.8284135e-07,9.188443e-07,4.4743865e-06,1.3224024e-05,3.4344266e-06,2.3904824e-05,3.4686673e-07,9.331925e-07,4.911053e-07,2.207562e-06,5.627662e-07,1.2614386e-05,4.129266e-06,1.0892167e-05,3.4942059e-06,3.6136043e-06,1.9730658e-05,1.5300917e-05
L1510,8.604955e-06,2.8481008e-06,4.7862995e-06,1.8185237e-06,2.2976892e-06,1.4314428e-06,2.223812e-05,4.6332134e-06,1.0442454e-06,7.935218e-06,2.9886141e-06,7.8359153e-07,4.532165e-06,5.967915e-06,1.3832469e-06,2.031913e-06,1.040753e-07,1.1909287e-06,3.0936208e-06,6.593531e-06,3.903988e-06,2.8670765e-06,1.0816031e-05,2.8757728e-05,5.7483558e-05,3.8747792e-05,6.868085e-05,0.00013910851,0.00011115719,0.00051060866,2.9513729e-05,3.6289915e-05,2.1402026e-05,1.0287273e-05,5.5683777e-05,0.00033983588,1.4762627e-05,2.487714e-05,2.1785963e-06,5.1935203e-06,0.00032523856,0.00058928796
L155,4.036192e-07,3.4240657e-08,1.1864904e-07,5.962647e-08,1.2600503e-07,7.5335265e-08,1.8320861e-08,6.756454e-08,5.0931703e-11,1.9172148e-08,7.0060196e-08,1.0928488e-08,3.9406586e-08,5.631591e-09,1.3132376e-07,1.0582153e-07,2.142042e-08,5.7421857e-08,6.3206244e-08,1.5219848e-07,7.299241e-08,1.7326238e-07,3.6293204e-07,1.7203274e-07,1.7716957e-08,3.5652192e-10,8.32224e-08,1.05806976e-07,3.1723175e-08,7.3479896e-08,2.561137e-08,1.758599e-08,4.4092303e-08,8.988718e-08,4.1174644e-08,5.0815288e-08,5.980837e-09,9.052019e-08,1.5905243e-08,2.6033376e-08,9.167707e-09,1.3855606e-07
L1625,1.4082761e-06,4.147936e-06,3.6513666e-06,5.4755947e-07,1.1032273e-05,1.0724587e-05,5.7499623e-05,6.8658846e-06,3.8533472e-07,3.5847188e-06,6.7251967e-06,3.207242e-07,1.831213e-07,6.1505707e-06,8.785108e-06,6.0288003e-06,1.05425715e-05,4.7542853e-06,1.1347001e-06,9.636977e-06,2.223882e-06,3.6752317e-06,5.5774e-06,6.144517e-06,1.3845856e-06,2.0267908e-06,9.917421e-07,4.2438623e-06,3.0085212e-06,4.490721e-07,9.69856e-07,6.510527e-07,5.7468424e-06,3.3368706e-06,9.45176e-07,3.9330916e-07,1.1846598e-05,1.4177582e-05,7.147901e-08,9.503041e-06,9.690819e-06,1.3119192e-05
L1631,1.08722015e-05,1.5357567e-05,3.6587822e-05,9.082258e-06,1.4961697e-05,1.4021178e-05,2.9846444e-05,1.6599894e-05,4.505506e-06,1.1947821e-05,2.716144e-05,1.7817365e-06,4.8987567e-06,1.1842931e-05,2.3494009e-05,6.8229856e-06,0.00010670652,9.53034e-05,3.5504636e-05,5.2433228e-05,1.9492989e-05,1.0725344e-05,1.72141e-05,1.5045283e-05,4.3139444e-06,4.86715e-06,3.4900731e-06,9.962299e-06,5.921116e-06,1.1618249e-06,1.2316741e-07,2.237095e-06,1.3685727e-05,9.699317e-06,2.4664041e-05,7.707626e-06,3.4544733e-05,4.322885e-05,9.802636e-06,2.3311586e-05,2.4469919e-05,2.7205911e-05
L20,2.8790964e-07,2.6790076e-08,1.2358942e-07,6.289338e-08,1.2978853e-07,7.779454e-08,5.326001e-09,7.795461e-08,7.872586e-09,1.929584e-08,7.1086106e-08,1.1335942e-08,3.9712177e-08,5.84987e-09,1.3459066e-07,1.0916847e-07,2.1260348e-08,5.7392754e-08,6.4697815e-08,1.5631667e-07,7.744529e-08,5.2692485e-08,5.43223e-08,2.3283064e-08,2.0372681e-09,2.910383e-10,7.811468e-08,9.909854e-08,2.96277e-08,7.035851e-08,2.3486791e-08,2.3312168e-08,4.2738975e-08,8.73697e-08,4.004687e-08,4.749745e-08,3.783498e-09,8.652569e-08,1.7069397e-08,2.4214387e-08,8.702045e-09,1.3413955e-07
L202,6.1605533e-07,6.587652e-08,1.9059371e-07,9.5998985e-08,2.0358857e-07,1.2107921e-07,1.1423253e-09,1.08200766e-07,3.2014214e-10,3.079913e-08,1.1273369e-07,1.754961e-08,6.3475454e-08,9.044015e-09,2.1122105e-07,1.7014099e-07,3.4531695e-08,9.244832e-08,1.0173244e-07,2.4493784e-07,1.1733937e-07,3.195819e-07,6.490809e-07,3.1178206e-07,3.2625394e-08,6.184564e-10,1.3468525e-07,1.7123239e-07,5.139009e-08,1.1891825e-07,3.9603037e-08,2.955494e-08,7.144263e-08,1.451117e-07,6.638584e-08,8.221832e-08,9.727955e-09,1.4643592e-07,2.5691406e-08,4.217145e-08,1.4806574e-08,2.239176e-07
L2208,1.7743878e-07,2.5822374e-08,2.1518645e-08,4.1693056e-08,6.1318133e-09,7.3663614e-08,2.3541725e-07,1.7780985e-07,1.2791133e-07,2.6258931e-08,1.6876584e-08,6.159098e-09,3.9392035e-08,3.2068783e-09,3.6046913e-08,7.482231e-08,3.2225216e-08,9.685937e-08,1.6148988e-08,4.9249138e-08,1.1760858e-07,1.0319309e-07,3.4500772e-08,1.7817001e-08,2.39379e-09,1.3496901e-09,3.5986886e-08,8.0683094e-08,4.3022737e-08,4.6442437e-08,6.974551e-08,1.530916e-07,8.3200575e-09,1.6981176e-07,8.766074e-08,1.5330443e-08,1.0894837e-07,3.682362e-08,1.3127465e-07,4.627691e-08,7.012204e-09,1.2983037e-07
L221,2.587214e-06,1.5572296e-06,8.062634e-07,3.8839062e-07,8.511415e-07,4.7538197e-07,9.829528e-07,4.969188e-07,7.261406e-08,1.2322562e-07,4.360627e-07,6.6676876e-08,2.3547909e-07,3.608875e-08,8.220086e-07,6.75529e-07,1.2951205e-07,3.5349512e-07,3.8323924e-07,9.539945e-07,4.6534115e-07,1.1535303e-06,1.3824028e-06,2.1417509e-07,2.2118911e-09,1.6298145e-09,4.749745e-07,6.297487e-07,1.7537968e-07,4.224421e-07,1.8076389e-07,3.0297088e-08,2.3571192e-07,4.9738446e-07,2.2392487e-07,3.054447e-07,5.651964e-08,5.1021925e-07,7.194467e-08,1.5189289e-07,6.140908e-08,7.9051824e-07
L2361,6.598071e-06,4.204572e-06,7.2888797e-06,4.5880442e-06,3.52941e-05,1.1299271e-06,2.1319021e-05,9.827432e-06,2.1622982e-06,6.772927e-06,1.2716278e-05,1.2365635e-06,5.3410186e-06,7.0830574e-06,1.3183802e-05,5.939335e-05,8.6817425e-05,7.174141e-05,1.1039781e-05,2.3959321e-05,1.9790605e-07,5.6613935e-06,9.9088065e-06,1.1196942e-05,1.0178192e-06,8.4692147e-07,4.223548e-07,1.0235002e-05,4.2088795e-06,1.9628787e-06,1.97778e-06,9.1455877e-07,7.051043e-06,5.1721e-06,4.5076013e-07,2.5527552e-06,1.5889644e-05,2.6102993e-05,4.9374066e-06,1.2240838e-05,8.142437e-06,1.6532838e-05
L2426,6.7952788e-06,7.773517e-06,8.722185e-06,2.4647452e-06,5.665701e-06,2.8510112e-05,4.057109e-05,1.1241529e-05,1.1954689e-06,1.9175699e-05,2.2500637e-05,6.01192e-06,3.140862e-05,4.033209e-06,1.0777847e-05,1.2867386e-06,5.365582e-07,1.3509998e-06,2.3205066e-06,1.5247497e-05,7.457682e-06,7.1752584e-06,2.2325316e-05,9.618164e-05,0.0004462375,0.0001797413,3.084843e-05,0.00035563298,6.703648e-05,0.0003705786,0.0003965547,1.3461919e-05,9.0792426e-05,2.4971785e-05,7.735379e-05,0.00031096768,2.2410997e-05,8.79314e-05,1.7368235e-05,5.7298457e-06,0.00018731155,0.0006086645
L250,2.3498142e-06,1.329885e-06,9.872892e-07,3.3489778e-07,7.047638e-07,4.2584725e-07,6.664777e-09,3.6734855e-07,1.21071935e-08,1.0812073e-07,3.9572478e-07,6.114715e-08,2.2313907e-07,3.1490345e-08,7.4048876e-07,5.9562444e-07,1.2209057e-07,3.255118e-07,3.563473e-07,8.5830106e-07,4.087633e-07,1.0820368e-06,2.2053719e-06,1.0541262e-06,1.1007069e-07,2.3574103e-09,4.7209323e-07,6.003538e-07,1.8054561e-07,4.147878e-07,1.3703539e-07,9.519863e-08,2.4678593e-07,5.027541e-07,2.2939639e-07,2.8852082e-07,3.693276e-08,5.105394e-07,8.655479e-08,1.4778925e-07,5.144102e-08,7.763156e-07
L251,4.2564352e-10,2.4374458e-10,1.7462298e-10,6.184564e-11,1.2732926e-10,7.6397555e-11,0.0,6.548362e-11,3.637979e-12,2.1827873e-11,7.2759576e-11,1.0913936e-11,4.0017767e-11,1.0913936e-11,1.3460522e-10,1.05501385e-10,2.1827873e-11,5.820766e-11,6.548362e-11,1.5643309e-10,7.2759576e-11,1.9645086e-10,4.0017767e-10,1.8553692e-10,2.1827873e-11,3.637979e-12,8.367351e-11,1.09139364e-10,3.274181e-11,7.2759576e-11,2.1827873e-11,1.8189894e-11,4.3655746e-11,9.458745e-11,4.3655746e-11,5.0931703e-11,7.275958e-12,9.094947e-11,1.8189894e-11,2.5465852e-11,1.0913936e-11,1.4188117e-10
L253,5.9138983e-07,3.351306e-07,2.4787732e-07,8.405186e-08,1.7695129e-07,1.0691292e-07,1.6880222e-09,9.223004e-08,3.0413503e-09,2.7153874e-08,9.936048e-08,1.5366822e-08,5.6024874e-08,7.90169e-09,1.8590072e-07,1.4952093e-07,3.0646333e-08,8.1709004e-08,8.949428e-08,2.1547021e-07,1.02620106e-07,2.7180067e-07,5.5400596e-07,2.6481575e-07,2.7648639e-08,5.966285e-10,1.1852535e-07,1.5072874e-07,4.5343768e-08,1.04133505e-07,3.4400728e-08,2.3894245e-08,6.1962055e-08,1.2622331e-07,5.759648e-08,7.2439434e-08,9.284122e-09,1.2817327e-07,2.172601e-08,3.7121936e-08,1.2936653e-08,1.9493746e-07
L256,6.471353e-06,3.663241e-06,2.7184724e-06,9.2195114e-07,1.940527e-06,1.1724187e-06,1.8218998e-08,1.0115327e-06,3.3294782e-08,2.9773219e-07,1.0894728e-06,1.6851118e-07,6.1432365e-07,8.6729415e-08,2.0386651e-06,1.639768e-06,3.3609103e-07,8.9616515e-07,9.812065e-07,2.3631146e-06,1.1253869e-06,2.9805233e-06,6.0750754e-06,2.9037474e-06,3.032037e-07,6.519258e-09,1.2997771e-06,1.6530394e-06,4.970352e-07,1.1420925e-06,3.7736027e-07,2.622255e-07,6.7963265e-07,1.3842946e-06,6.3161133e-07,7.9447636e-07,1.01630576e-07,1.4058314e-06,2.3830216e-07,4.0710438e-07,1.4161924e-07,2.137851e-06
L257,8.59733e-06,4.855625e-06,3.5953126e-06,1.2207893e-06,2.7287751e-06,1.5426776e-06,1.5186379e-07,1.5069381e-06,1.3248064e-07,3.9144652e-07,1.4332472e-06,2.2159657e-07,8.090865e-07,1.1478551e-07,2.6830821e-06,2.1623564e-06,4.4284388e-07,1.1799275e-06,1.291337e-06,3.1164964e-06,1.4870893e-06,3.9381557e-06,8.02445e-06,3.8315775e-06,3.9988663e-07,8.4983185e-09,1.7104903e-06,2.1747546e-06,6.540213e-07,1.5038531e-06,4.9720984e-07,3.8859434e-07,9.3737617e-07,1.821667e-06,8.3085615e-07,1.0458753e-06,1.337612e-07,1.8499559e-06,3.138557e-07,5.357433e-07,1.8673018e-07,2.813409e-06
L266,7.006456e-07,3.8844883e-07,2.9195508e-07,1.0016083e-07,2.1133746e-07,1.2703822e-07,7.566996e-10,1.109147e-07,2.5320332e-09,3.22907e-08,1.1813245e-07,1.8335413e-08,6.656046e-08,9.458745e-09,2.211309e-07,1.7795537e-07,3.6336132e-08,9.707583e-08,1.06490916e-07,2.563611e-07,1.223234e-07,3.2540993e-07,6.6292705e-07,3.1695527e-07,3.3091055e-08,6.8394e-10,1.409644e-07,1.792796e-07,5.3842086e-08,1.2406963e-07,4.118192e-08,2.917659e-08,7.40547e-08,1.5069963e-07,6.884511e-08,8.6118234e-08,1.0782969e-08,1.5269325e-07,2.6178895e-08,4.4165063e-08,1.542503e-08,2.3269968e-07
L27,3.7824793e-07,1.510125e-08,2.4943438e-07,2.0610969e-07,3.881978e-07,4.2266038e-08,4.2490865e-07,4.693975e-07,3.4294862e-07,7.3123374e-10,6.11908e-08,7.858034e-10,1.1314114e-09,1.207809e-09,1.904773e-07,2.0944208e-07,2.6193447e-10,1.8408173e-09,5.9033482e-08,2.3973553e-07,2.3873872e-07,2.4800102e-08,1.5445039e-07,1.4475518e-08,1.1823431e-09,6.91216e-10,6.46869e-08,6.471964e-08,2.0008883e-10,1.9331492e-07,1.8422361e-07,2.7615897e-07,1.2405872e-07,3.1871605e-07,1.274675e-07,3.921741e-08,1.4977923e-07,1.91445e-07,2.1250526e-07,1.0841177e-09,1.5897967e-09,4.0424857e-07
L271,3.019959e-07,1.5605474e-07,1.09212124e-07,3.9159204e-08,2.3207394e-07,4.0221494e-08,1.6535341e-07,2.0070001e-07,1.6514969e-07,9.968062e-09,3.6903657e-08,5.7625584e-09,2.1493179e-08,3.5215635e-09,7.006747e-08,5.9531885e-08,1.21071935e-08,3.1330273e-08,3.3644028e-08,8.763163e-08,4.4470653e-08,1.14538125e-07,2.3141911e-07,1.0668009e-07,1.1204975e-08,2.6193447e-10,4.4485205e-08,5.6170393e-08,1.6967533e-08,3.9915903e-08,1.337321e-08,5.2168616e-08,6.616756e-08,4.7381036e-08,2.1260348e-08,2.7692295e-08,3.608875e-09,4.802132e-08,8.236384e-09,1.4028046e-08,5.0640665e-09,7.29633e-08
L275,1.4207384e-05,0.0001366596,6.0416933e-05,7.61298e-07,1.6635167e-06,9.642681e-07,5.349284e-08,9.0082176e-07,4.0628947e-08,2.447632e-07,8.9616515e-07,1.3888348e-07,5.0553354e-07,7.194467e-08,1.6780687e-06,1.352164e-06,2.765446e-07,7.3743286e-07,8.077477e-07,1.9467552e-06,9.2881965e-07,2.4678302e-06,5.027745e-06,2.4014735e-06,2.506422e-07,5.355105e-09,1.0695658e-06,1.360022e-06,4.087924e-07,9.4098505e-07,3.1176023e-07,2.302695e-07,5.7189027e-07,1.1416269e-06,5.211332e-07,6.5373024e-07,8.253846e-08,1.1578668e-06,1.9744039e-07,3.349851e-07,1.1688098e-07,1.7624698e-06
L277,1.4355988e-05,0.00013649109,6.0202437e-05,8.770148e-07,2.006418e-06,1.0837102e-06,1.9744039e-07,1.1497759e-06,1.8323772e-07,2.7485657e-07,1.0068179e-06,1.5611295e-07,5.68456e-07,8.114148e-08,1.8860446e-06,1.5220139e-06,3.1100353e-07,8.289935e-07,9.077485e-07,2.2070017e-06,1.0621152e-06,2.7857604e-06,5.6729186e-06,2.7093338e-06,2.8300565e-07,5.9371814e-09,1.2020464e-06,1.5282421e-06,4.5925844e-07,1.0608346e-06,3.5442645e-07,3.1490345e-07,6.9470843e-07,1.2870878e-06,5.8620935e-07,7.3423143e-07,8.958159e-08,1.3038516e-06,2.3457687e-07,3.7671998e-07,1.314329e-07,1.9969302e-06
L280,2.6857306e-05,0.00014370249,6.56778e-05,1.0399381e-06,2.3216708e-06,1.3146782e-06,1.2572855e-07,1.2808014e-06,1.094304e-07,3.335299e-07,1.2213131e-06,1.8882565e-07,6.8952795e-07,9.80217e-08,2.286397e-06,1.8432038e-06,3.775349e-07,1.005712e-06,1.1005905e-06,2.655317e-06,1.2668315e-06,3.3582328e-06,6.8437075e-06,3.267196e-06,3.4098048e-07,7.21775e-09,1.4578691e-06,1.8535648e-06,5.5739656e-07,1.2816163e-06,4.2375177e-07,3.2642856e-07,7.940689e-07,1.5527476e-06,7.082708e-07,8.913921e-07,1.14087015e-07,1.5766127e-06,2.6763882e-07,4.566973e-07,1.5925616e-07,2.3981556e-06
L286,2.8286944e-05,8.666748e-05,6.5783854e-05,1.0988442e-06,2.4461187e-06,1.3895333e-06,1.2514647e-07,1.3458775e-06,1.0780059e-07,3.52622e-07,1.2908131e-06,1.9965228e-07,7.287599e-07,1.0349322e-07,2.4164328e-06,1.9477447e-06,3.9907172e-07,1.0628719e-06,1.1632219e-06,2.8061913e-06,1.3387762e-06,3.5498524e-06,7.2335824e-06,3.4539262e-06,3.6030542e-07,7.683411e-09,1.5407568e-06,1.9591535e-06,5.889451e-07,1.3546087e-06,4.4796616e-07,3.4365803e-07,8.3760824e-07,1.6413396e-06,7.4866693e-07,9.4191637e-07,1.2037344e-07,1.6663689e-06,2.8312206e-07,4.8277434e-07,1.6822014e-07,2.5352929e-06
L290,9.463343e-06,7.849303e-07,2.7938513e-06,1.4039106e-06,2.9662624e-06,1.7737038e-06,5.7625584e-09,1.5914557e-06,2.6775524e-09,4.5110937e-07,1.649023e-06,2.5716145e-07,9.271316e-07,1.3248064e-07,3.0907686e-06,2.4908804e-06,5.038455e-07,1.3511744e-06,1.487264e-06,3.582274e-06,1.7181155e-06,4.0703453e-06,8.549192e-06,4.0535233e-06,4.1729072e-07,8.381903e-09,1.958746e-06,2.4905312e-06,7.4639684e-07,1.7296406e-06,6.030896e-07,4.1455496e-07,1.0377262e-06,2.1166634e-06,9.69565e-07,1.196051e-06,1.4039688e-07,2.1306914e-06,3.7509017e-07,6.122282e-07,2.1600863e-07,3.2620737e-06
L296,4.5110937e-10,4.0017767e-11,1.382432e-10,6.91216e-11,1.4551915e-10,8.367351e-11,3.637979e-12,8.0035534e-11,0.0,2.1827873e-11,8.0035534e-11,1.4551915e-11,4.3655746e-11,1.0913936e-11,1.5643309e-10,1.2369128e-10,2.5465852e-11,6.548362e-11,7.6397555e-11,1.7826096e-10,8.367351e-11,2.2555469e-10,4.5474735e-10,2.1827873e-10,2.1827873e-11,0.0,9.822543e-11,1.2732926e-10,3.6379788e-11,8.0035534e-11,2.1827873e-11,2.1827873e-11,5.820766e-11,1.05501385e-10,5.0931703e-11,6.184564e-11,1.0913936e-11,1.05501385e-10,1.8189894e-11,3.274181e-11,1.0913936e-11,1.6007107e-10
L304,2.7045608e-06,2.3376197e-07,8.317875e-07,4.1839667e-07,8.873758e-07,5.271286e-07,3.3935066e-08,4.7369394e-07,1.1641532e-09,1.3405224e-07,4.9057417e-07,7.642666e-08,2.7602073e-07,3.934838e-08,9.195646e-07,7.4104173e-07,1.5011756e-07,4.0221494e-07,4.4255285e-07,1.0663061e-06,5.113543e-07,1.3608951e-06,2.7303468e-06,1.2890669e-06,1.3411045e-07,2.6193447e-09,5.8533624e-07,7.445924e-07,2.2328459e-07,5.1612733e-07,1.739827e-07,1.2479722e-07,3.0960655e-07,6.298069e-07,2.8812792e-07,3.578025e-07,4.3422915e-08,6.3568586e-07,1.1047814e-07,1.830631e-07,6.4552296e-08,9.716023e-07
L305,5.9102895e-06,5.10714e-07,1.8181745e-06,9.1444235e-07,1.939945e-06,1.1519296e-06,7.310882e-08,1.0363292e-06,3.3760443e-09,2.9313378e-07,1.0721851e-06,1.6693957e-07,6.032642e-07,8.591451e-08,2.0096777e-06,1.61957e-06,3.2805838e-07,8.7881926e-07,9.671785e-07,2.330402e-06,1.1179363e-06,2.9761577e-06,5.970127e-06,2.8186478e-06,2.933666e-07,5.5879354e-09,1.2794044e-06,1.6272534e-06,4.878966e-07,1.1280645e-06,3.805617e-07,2.7369242e-07,6.769551e-07,1.3770768e-06,6.3015614e-07,7.817289e-07,9.452924e-08,1.3894169e-06,2.4191104e-07,4.0000305e-07,1.4109537e-07,2.1243468e-06
