,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L258,2.5957124e-06,1.9010622e-06,3.054738e-06,3.6002835e-05,3.0179508e-06,1.4458783e-06,5.639158e-07,1.1853408e-06,1.1422671e-06,0.0003084535
L264,3.0151568e-06,2.2734748e-06,3.654859e-06,4.1670515e-05,3.603287e-06,1.7259736e-06,6.7346264e-07,1.4152611e-06,1.3638055e-06,0.0002991741
L3113,3.660738e-06,1.4248071e-06,2.3269095e-06,2.626126e-05,3.2794196e-06,1.7264392e-07,3.9453153e-07,8.2026236e-07,1.1302182e-06,0.00016906977
L3115,5.7842117e-06,1.4450634e-06,1.9352883e-06,1.8088496e-05,3.5371631e-06,6.542541e-08,2.5576446e-07,6.1129685e-07,1.1916272e-06,0.00012813171
L3128,2.2885506e-06,2.0648004e-06,3.1549716e-06,8.454896e-06,1.3121753e-06,6.185728e-07,3.4552068e-07,5.745096e-07,5.1310053e-07,2.4072011e-05
L3164,3.215263e-05,3.9195875e-05,1.6128179e-06,4.0610554e-05,1.0625226e-06,5.0035305e-07,1.5473925e-06,3.4500845e-06,3.7928112e-07,2.3764558e-05
L325,6.811606e-07,5.546899e-07,8.372881e-07,5.725189e-06,8.1212784e-07,1.6360718e-07,2.0378502e-07,4.2511965e-07,3.197929e-07,5.540569e-06
L33,3.5285484e-06,6.429036e-06,3.0884985e-06,6.8254303e-06,4.3693e-06,3.7794234e-06,1.597032e-05,2.8972281e-06,1.1266675e-06,0.00014015078
L342,2.4749897e-07,5.356618e-06,5.236652e-06,8.823135e-05,6.944174e-07,5.771115e-06,5.8927108e-06,1.20771e-05,2.6082853e-07,0.000106281484
L346,7.6182187e-07,5.1391544e-06,4.943926e-06,4.8803166e-05,7.877825e-07,5.768263e-06,5.894457e-06,1.207192e-05,2.6030466e-07,0.000108169625
L391,2.6432099e-06,6.7437068e-06,4.2447355e-06,3.5624253e-06,2.5102636e-05,4.928559e-06,9.053154e-06,3.7342543e-06,6.753253e-07,0.00010563887
L406,3.2575335e-06,4.6046916e-06,9.806827e-07,1.3229554e-05,2.120505e-06,1.6645063e-06,9.348267e-06,4.6216883e-08,1.6327249e-06,0.00010367285
L419,2.4973997e-06,7.493072e-07,1.1978555e-06,8.165545e-06,1.3359822e-06,1.4720717e-07,2.0634616e-07,4.5803608e-07,5.42379e-07,6.7047076e-06
L426,6.015471e-07,2.8959766e-07,4.0723535e-07,2.8850336e-06,4.6133937e-07,4.5722118e-08,1.1906377e-07,1.5253318e-07,1.9067375e-07,
L43,3.0482188e-06,6.816932e-06,3.6819838e-06,1.0740245e-05,5.027163e-06,3.863941e-06,1.6148319e-05,3.1249365e-06,8.7171793e-07,0.0001436873
L430,1.4576362e-06,6.2230974e-06,7.985509e-07,5.6588324e-06,9.064097e-07,9.080395e-08,2.3387838e-07,2.9965304e-07,3.7427526e-07,7.432274e-05
L433,2.9558432e-06,1.2235832e-06,1.937733e-06,1.3970886e-05,3.8724975e-06,1.8248102e-07,3.3545075e-07,7.2369585e-07,9.3574636e-07,6.875128e-05
L473,6.2012114e-06,6.054045e-05,0.00020173314,2.0632928e-05,3.566849e-06,2.1333108e-06,9.547803e-07,0.00021829893,0.00012659759,0.00010185514
L474,6.9725793e-06,6.059243e-05,0.00019986735,1.6414328e-05,4.2113825e-06,2.2116583e-06,1.0630465e-06,0.0001501218,0.00012690038,0.000103176804
L481,7.22555e-06,6.0594175e-05,0.00019986252,1.6398379e-05,4.212372e-06,2.2128224e-06,1.0621734e-06,0.00015012315,0.00012689934,0.000103277736
L509,1.4492689e-06,5.4780685e-07,1.0620424e-06,8.282965e-06,1.366614e-06,1.06563675e-07,1.2871169e-07,2.56332e-07,3.6071287e-07,
L540,4.8282527e-07,5.3016265e-08,8.126517e-08,1.4089892e-06,2.8734576e-07,4.3801265e-09,2.6448106e-09,5.482434e-09,3.6416168e-08,
L552,1.5753903e-07,3.5724952e-09,1.6334525e-09,1.366534e-07,4.5474735e-10,4.656613e-10,2.9467628e-10,7.8216544e-10,5.0931703e-11,
L58,8.285744e-06,1.878012e-06,2.6315683e-06,7.748837e-06,4.8603397e-06,3.061723e-08,3.0722003e-07,7.338822e-07,1.4140969e-06,0.00012480642
L60,1.3002893e-05,4.8683723e-06,7.496099e-06,6.0796854e-05,1.0921271e-05,4.3935142e-07,1.0533258e-06,2.2331951e-06,3.8867583e-06,3.4482335e-05
L633,8.466595e-06,7.923809e-07,1.6003964e-05,8.65621e-05,5.4710836e-07,7.408744e-07,6.593473e-07,7.5985154e-06,6.5563654e-08,5.541282e-06
L641,5.4837437e-06,2.6447233e-06,1.2202887e-05,0.000119266275,3.6208658e-06,2.1480955e-06,1.5889527e-06,4.4528686e-05,8.002389e-07,0.00025806238
L649,5.0620874e-06,2.8689392e-06,1.1796248e-05,0.000116673764,3.9514853e-06,2.224464e-06,1.6746344e-06,4.4233515e-05,9.2724804e-07,0.00025521958
L659,4.3737236e-07,2.8171344e-06,1.2609526e-05,6.5899105e-05,3.433053e-05,1.9036233e-05,2.23713e-05,2.7599162e-05,6.821938e-08,0.0004050437
L709,2.3312168e-06,6.8829395e-06,4.4555636e-06,4.936941e-06,2.5353045e-05,4.966685e-06,9.10525e-06,3.8209837e-06,5.902839e-07,0.000104373845
L711,2.614106e-07,8.614152e-07,4.942616e-06,3.847381e-06,,,,,,
L712,1.7578132e-06,7.911905e-06,2.401357e-07,2.6296475e-06,6.78933e-05,4.141475e-07,1.4103833e-05,1.6571721e-07,6.3329935e-08,
L744,3.25992e-07,2.0511827e-05,7.70262e-07,1.822671e-06,8.1515464e-07,4.356989e-07,8.891948e-07,4.4271292e-07,1.5366822e-08,
L755,2.9016519e-08,2.1839776e-05,5.1641837e-07,1.7898856e-07,5.571055e-07,3.8614962e-07,1.0103977e-06,3.4325058e-07,8.777715e-08,1.3191922e-05
L766,8.1397593e-07,9.536656e-06,4.716363e-06,4.8759102e-06,5.476526e-06,3.647845e-06,9.129872e-06,3.2885e-06,5.730835e-07,1.9944273e-05
L77,2.9797957e-07,2.4263863e-07,4.0311716e-07,2.841145e-06,3.8668804e-07,6.923801e-08,7.900235e-08,1.6691047e-07,1.5353726e-07,2.8718787e-06
L779,6.457418e-05,3.4322147e-07,4.962203e-08,1.3019104e-05,2.9598596e-08,2.7223723e-07,4.1334424e-06,1.9633444e-07,3.6967685e-07,3.1038e-05
L802,5.3225085e-07,3.1350646e-07,4.757312e-07,3.449968e-06,5.3149415e-07,6.2340405e-08,1.9877916e-07,1.785811e-07,2.1560118e-07,4.7733192e-06
L808,9.895302e-09,7.03556e-07,1.1714292e-06,2.8493232e-05,3.145542e-07,1.9139843e-06,1.0017771e-05,7.6158904e-07,6.298069e-07,0.00018597237
L813,2.2402965e-06,5.125068e-06,2.1699816e-07,1.8610153e-05,1.2550736e-06,1.7505372e-06,9.570853e-06,2.4051405e-07,1.2756791e-06,4.624366e-06
L814,8.731149e-08,7.037888e-07,1.1711381e-06,2.8491311e-05,3.1432137e-07,1.913926e-06,1.0017655e-05,7.615308e-07,6.299815e-07,0.00018597546
L825,5.0917442e-06,2.8140785e-06,3.6632118e-06,1.9532134e-05,3.5127741e-06,7.736671e-07,4.834437e-07,8.3784107e-07,8.990464e-07,
L827,1.0596297e-05,5.6613935e-06,7.097551e-06,4.027254e-05,7.283292e-06,1.5184633e-06,9.568757e-07,1.6355189e-06,1.8074643e-06,0.00013323547
L828,1.0948395e-05,0.00022963737,0.00020299607,6.040896e-05,1.0153628e-05,9.603205e-05,1.2334203e-06,2.1428568e-06,2.6304042e-06,9.711331e-05
L836,1.6870617e-06,1.4848629e-06,1.8884602e-06,8.810413e-06,1.4185498e-06,4.3248292e-07,2.8112845e-07,4.6264904e-07,4.7133653e-07,
L844,3.126741e-06,3.1125383e-05,2.5388668e-05,1.1877302e-05,1.8954452e-06,1.9733037e-05,4.5623165e-07,7.483759e-07,5.669426e-07,
L850,6.436312e-07,7.875977e-06,6.389011e-06,2.4347755e-06,3.9635052e-07,4.88566e-06,9.563519e-08,1.5607657e-07,1.1560769e-07,5.750415e-06
L852,1.529188e-07,3.3892156e-05,6.67104e-05,9.0760295e-07,2.4199835e-08,3.5489604e-05,3.0267984e-09,2.5742338e-08,2.3709435e-07,8.5828215e-06
L860,4.1480234e-07,8.4066414e-08,1.0813528e-07,7.1495015e-07,9.3408744e-08,3.30474e-08,2.3603207e-08,4.2229658e-08,3.5230187e-08,2.8034468e-05
L877,1.5681726e-06,1.9762083e-06,2.6121852e-06,1.21041085e-05,1.9087165e-06,,,,,
L890,5.7183206e-06,4.463247e-06,6.4282212e-06,1.8732157e-05,2.8426293e-06,1.3408717e-06,7.475028e-07,1.2473902e-06,1.1103693e-06,1.2760283e-05
L893,4.3265172e-06,3.856374e-06,5.8668084e-06,1.5665195e-05,2.4274923e-06,1.1440134e-06,6.3923653e-07,1.0625808e-06,9.4948336e-07,1.589529e-05
L894,4.923437e-06,4.2136526e-06,6.15546e-06,1.7056358e-05,2.6420457e-06,1.2457604e-06,6.9546513e-07,1.1578668e-06,1.033186e-06,1.4366931e-05
L948,7.1243994e-07,2.5186455e-07,5.538677e-07,4.1657768e-06,7.2278635e-07,1.3694807e-07,1.0224903e-07,1.7081038e-07,2.0452717e-07,2.978304e-06
L99,2.6979833e-06,1.3421231e-06,1.9376457e-06,1.7148763e-05,2.5851186e-06,3.266323e-07,3.8859434e-07,8.4761996e-07,7.575436e-07,
L995,2.0742882e-06,6.028975e-06,2.6379712e-07,1.8185121e-05,9.567011e-07,4.2899046e-06,5.324255e-07,1.32469e-06,7.14208e-07,8.0259284e-05
L2999,3.99453e-06,6.224145e-07,3.4448458e-06,6.1089813e-06,2.881061e-06,2.159999e-06,6.7439396e-07,2.90951e-06,7.287308e-07,1.2607008e-05
L1110,7.425406e-07,2.5567715e-08,4.5387424e-08,,,,,,,
L1147,1.2496021e-06,3.4441473e-07,5.498878e-07,4.50731e-06,6.97677e-07,5.4074917e-08,1.1327211e-07,2.0477455e-07,2.6923954e-07,
L1148,7.4222044e-07,3.0266528e-07,4.9409573e-07,3.7377176e-06,5.974289e-07,4.717731e-08,1.01921614e-07,1.8111314e-07,2.4054316e-07,3.3094839e-06
L2363,1.5711412e-05,2.664281e-06,1.0087388e-05,1.15600415e-05,2.634793e-05,2.237386e-06,2.5759218e-06,6.9017988e-06,1.9384315e-06,1.6605714e-05
L2625,1.1284137e-05,2.3941393e-06,6.9294474e-06,1.9847183e-05,2.5044952e-05,3.5745325e-07,1.5910482e-06,3.6779675e-06,2.8550858e-06,3.780413e-06
L66,5.3891563e-07,4.3897307e-07,7.293129e-07,5.1398238e-06,6.99627e-07,1.2520468e-07,1.428707e-07,3.0189403e-07,2.7770875e-07,4.5077904e-05
L69,5.6796125e-07,4.627509e-07,7.688068e-07,5.4178236e-06,7.3746196e-07,1.3198587e-07,1.5061232e-07,3.1822128e-07,2.9272633e-07,
L7,5.988113e-07,1.637818e-08,4.2211468e-08,1.1234551e-06,2.397428e-07,6.89397e-09,1.3096724e-09,5.7334546e-09,2.8740033e-10,3.5897392e-07
L2713,3.930909e-06,1.6007107e-09,2.9930088e-06,,,,,,,
L2718,2.6015186e-06,5.941547e-08,2.011002e-06,4.0849016e-05,1.4615944e-07,4.2493048e-07,1.3822864e-07,5.239417e-07,4.4140324e-07,
L2725,5.287846e-06,3.282912e-08,3.8865546e-06,5.5946e-06,1.4213729e-06,2.091867e-06,9.209034e-07,2.9685325e-06,1.7025741e-07,4.0639803e-05
L1011,1.3096724e-10,8.0035534e-11,1.3096724e-10,9.713403e-10,1.4915713e-10,2.1827873e-11,3.274181e-11,5.0931703e-11,6.548362e-11,9.495125e-10
L1074,1.5557744e-06,2.915447e-06,1.2456439e-08,8.1404694e-05,8.121133e-07,2.2997265e-06,9.5169526e-07,6.831833e-07,6.131595e-07,4.2853062e-05
L1082,1.200533e-10,8.0035534e-11,1.3096724e-10,9.640644e-10,1.5643309e-10,2.1827873e-11,3.274181e-11,4.7293724e-11,6.548362e-11,9.313226e-10
L1098,2.7211354e-07,1.2644887e-07,2.6061753e-07,2.076653e-06,2.9875082e-07,3.7805876e-08,5.4707925e-08,9.984069e-08,1.2584496e-07,1.434928e-06
L1138,3.240566e-07,1.8367427e-07,3.1097443e-07,2.1309534e-06,3.4474942e-07,3.4924597e-08,7.5029675e-08,1.1229713e-07,1.4479156e-07,1.9408762e-06
L1152,2.456503e-05,7.0561655e-06,1.0686461e-05,6.0809543e-05,1.7362414e-05,4.5797788e-07,1.424225e-06,3.1192321e-06,5.5106357e-06,8.689333e-05
L1168,4.4689514e-06,4.8112124e-06,1.6413047e-05,3.6854297e-05,4.4336775e-06,7.2475523e-06,4.025991e-06,1.15028815e-05,5.3561525e-06,9.720493e-05
L128,2.3699977e-07,1.9645086e-07,2.884335e-07,2.1415763e-06,2.7823262e-07,5.212496e-08,6.307528e-08,1.339431e-07,1.1069642e-07,1.9879735e-06
L143,8.66648e-06,3.1862874e-06,2.2353488e-06,0.0002478956,1.768698e-06,2.23401e-06,3.7628924e-06,8.4646745e-06,1.0796357e-06,5.440222e-05
L1470,7.9063466e-07,1.1406373e-06,1.3926037e-06,9.819341e-07,8.374045e-07,4.0736631e-07,1.6656122e-07,1.1953671e-06,1.4620309e-07,1.2419187e-06
L1485,1.1349039e-07,6.717164e-08,4.924368e-08,1.6679405e-07,5.5268174e-08,6.557093e-08,9.1371476e-08,2.3675966e-08,2.9132934e-08,5.729089e-07
L1500,7.6974975e-06,7.564493e-06,0.00016686082,1.1361728e-05,4.067959e-06,4.433212e-06,9.872601e-07,2.9802322e-07,1.6663107e-06,2.462219e-05
L1503,4.1675754e-05,3.5775127e-05,3.414019e-05,8.11161e-05,2.5508692e-05,2.9588118e-05,8.009374e-06,2.5604386e-06,1.1450378e-05,0.00017107092
L1504,0.00048716634,0.00040331832,0.00012166519,6.486452e-05,1.1372147e-05,1.9731e-05,8.152798e-06,0.00034500053,8.261995e-06,0.00021868339
L1510,9.237556e-06,1.485087e-05,4.7358917e-06,2.1598418e-05,4.755333e-06,7.5509306e-06,2.2056047e-06,3.4766272e-06,3.055553e-06,4.8896065e-05
L155,1.071312e-07,8.708594e-08,1.4469697e-07,1.020162e-06,1.3886893e-07,2.4854671e-08,2.8361683e-08,5.996844e-08,5.5144483e-08,9.77816e-07
L1631,1.5950878e-05,1.3457611e-05,2.2088527e-05,0.0005335761,0.00064754335,0.00031537283,3.884081e-06,2.5539659e-05,2.9975781e-05,1.3753772e-05
L20,9.468931e-08,6.7273504e-08,1.08921085e-07,7.314811e-07,1.2072269e-07,1.2412784e-08,1.9033905e-08,4.0396117e-08,4.9360096e-08,5.53875e-07
L202,1.9845174e-07,1.4667603e-07,2.4454494e-07,1.6950798e-06,2.3683242e-07,4.468893e-08,4.3408363e-08,9.126961e-08,8.868665e-08,1.522043e-06
L2208,2.2586391e-08,1.0149233e-07,1.2114106e-07,2.2812674e-07,7.4333e-08,3.059904e-08,3.551213e-08,9.3405106e-08,4.6413334e-08,
L221,8.9622336e-07,2.5692862e-07,2.9689836e-05,2.7100206e-05,1.1681725e-05,1.1082448e-06,1.8742867e-07,4.300673e-07,4.5628985e-07,1.5150785e-05
L2361,1.6020262e-05,2.664281e-06,1.0407879e-05,1.1066208e-05,2.6478898e-05,2.3444882e-06,2.6242342e-06,7.03556e-06,2.0541484e-06,1.7582322e-05
L250,5.801703e-07,5.234906e-07,8.4293424e-07,9.907075e-06,8.3183113e-07,3.9798033e-07,1.5563273e-07,3.262394e-07,3.1487434e-07,
L251,1.0186341e-10,9.094947e-11,1.4188117e-10,1.7062121e-09,1.4188117e-10,6.91216e-11,2.910383e-11,5.4569682e-11,5.0931703e-11,2.7066562e-09
L253,2.2385211e-07,1.3150566e-07,2.1178857e-07,2.4894252e-06,2.0898005e-07,1.0001531e-07,3.9115548e-08,8.200004e-08,7.914787e-08,3.809284e-06
L256,1.6816775e-06,1.4420366e-06,2.3221364e-06,2.7295842e-05,2.2916356e-06,1.0965741e-06,4.2875763e-07,8.9907553e-07,8.677016e-07,
L257,2.568122e-06,1.9008294e-06,3.054738e-06,3.600144e-05,3.017718e-06,1.4457619e-06,5.639158e-07,1.1853408e-06,1.1422671e-06,0.00030845596
L266,2.2038876e-07,1.5707337e-07,2.5292684e-07,1.7727725e-06,2.441957e-07,1.1685188e-07,4.5693014e-08,9.589712e-08,9.246287e-08,3.6194542e-06
L27,5.3865006e-07,4.307367e-08,1.4109537e-07,1.1487027e-06,2.5038025e-07,6.370101e-09,2.390152e-09,1.8724677e-08,8.312782e-09,3.415662e-07
L271,3.8354483e-07,5.1848474e-08,7.802737e-08,1.0010845e-06,7.9598976e-08,3.966852e-08,1.412991e-08,3.250898e-08,2.96277e-08,1.4035468e-06
L290,2.5760382e-06,2.0765583e-06,3.3962424e-06,,,,,,,
L296,1.200533e-10,9.822543e-11,1.6007107e-10,1.3133103e-09,1.5643309e-10,2.910383e-11,2.5465852e-11,6.91216e-11,6.548362e-11,9.786163e-10
L304,3.077148e-06,5.9825834e-07,9.917421e-07,8.078467e-06,9.4861025e-07,1.5815021e-07,1.877197e-07,3.9557926e-07,1.4288817e-06,6.0330494e-06
L305,2.1108426e-06,1.325272e-06,2.1965243e-06,1.789711e-05,2.1016458e-06,3.5041012e-07,4.156027e-07,8.7637454e-07,3.703311e-05,1.1950615e-05
L3077,2.0040316e-06,5.735783e-07,7.117167e-06,7.867755e-06,1.3467507e-06,4.4184853e-06,1.5716068e-07,1.0896358e-05,1.4520658e-05,0.00050453946
L3078,2.3806933e-07,3.7485734e-08,4.7992216e-07,1.0670046e-06,9.2200935e-08,2.1088636e-07,5.104812e-08,1.0380172e-06,2.3274915e-06,6.947428e-05
L3116,4.464673e-07,2.697634e-07,4.33487e-07,2.941335e-06,8.4108615e-07,3.9799488e-08,7.566996e-08,1.599692e-07,2.0879088e-07,
L354,1.6676495e-06,1.1565426e-05,0.0004508241,9.014213e-06,3.33332e-06,2.0466978e-06,1.0373769e-06,0.00011061237,1.7271726e-05,0.0001366828
L355,1.6309423e-07,9.960786e-09,6.543269e-08,1.5166734e-08,4.765752e-10,5.529728e-10,4.3291948e-10,3.936293e-09,5.0167728e-09,
L357,4.812755e-07,4.928006e-07,2.2999739e-06,2.980989e-06,4.4981425e-07,5.4264092e-08,7.59901e-08,6.016635e-07,8.143252e-07,
L413,2.510933e-08,4.6107016e-07,4.99771e-07,3.8479775e-06,3.4312689e-07,,,,,
L414,4.969479e-07,2.8645445e-07,4.6164496e-07,3.1214877e-06,5.172478e-07,5.05388e-08,7.961353e-08,1.7198909e-07,2.1327287e-07,2.330824e-06
L415,1.9152503e-07,1.0733493e-07,1.7361162e-07,1.1676821e-06,1.9329309e-07,2.5051122e-08,3.0071533e-08,6.430491e-08,7.950439e-08,8.811112e-07
L418,5.858019e-07,9.563519e-07,1.8099963e-06,1.0054879e-05,1.0576041e-06,3.5659265e-05,2.720044e-07,7.264607e-07,2.9685907e-09,4.979172e-05
L434,1.868757e-06,9.51055e-07,1.5198893e-06,1.0774675e-05,3.0365773e-06,1.4097895e-07,2.6402995e-07,5.6324643e-07,7.3213596e-07,7.1249524e-05
L477,4.3974433e-07,5.3599884e-05,0.00023212255,9.220967e-06,4.7697104e-06,3.8985163e-06,1.6828417e-06,0.00010464233,0.00010585191,8.218258e-05
L484,1.3193057e-06,1.149578e-05,4.7482492e-05,4.32925e-05,2.650777e-07,7.4037234e-07,2.3256871e-07,2.0664622e-05,2.032434e-05,3.2153766e-05
L494,4.8514994e-07,3.369496e-08,1.2817691e-07,1.041004e-06,2.2458698e-07,2.1609594e-09,6.91216e-11,9.91713e-09,6.722985e-09,3.0839146e-07
L497,5.2032556e-07,3.4794357e-07,9.710348e-07,2.520028e-06,3.8248254e-07,3.1308446e-08,4.980393e-08,3.6788697e-07,3.9213774e-07,1.8134888e-06
L498,8.071074e-07,4.471271e-05,0.00017251758,1.9929634e-05,2.5520567e-06,2.710789e-06,1.031498e-06,7.185308e-05,6.428409e-05,5.1639814e-05
L557,8.8957313e-07,5.8360456e-07,8.673378e-07,6.3221814e-06,9.1135735e-07,1.7121783e-07,2.0829611e-07,5.157053e-07,3.3360266e-07,
L603,6.2200706e-07,3.9604492e-07,2.3594766e-06,2.6173075e-07,5.1339157e-07,2.872548e-08,5.826587e-08,,,
L607,7.5159536e-05,9.0827234e-07,0.0002649628,1.5710248e-05,1.2532109e-06,7.0256647e-07,1.701992e-07,3.75018e-05,9.344658e-07,0.00024734368
L608,8.8247296e-05,1.2794044e-06,0.0002454198,3.5268022e-07,1.2827222e-06,9.738142e-08,1.3661338e-07,1.550978e-05,6.722403e-07,0.00015350129
L611,8.131319e-07,4.463509e-07,7.106428e-07,4.635207e-06,6.6071516e-07,1.4022226e-07,1.6516424e-07,1.0126241e-06,2.595334e-07,5.9322774e-06
L612,4.366011e-07,2.3964094e-07,3.8155122e-07,2.4886758e-06,3.547393e-07,7.5298885e-08,8.868665e-08,5.4368866e-07,1.3934186e-07,
L616,1.1699623e-05,1.4079269e-06,2.1342887e-05,2.4059555e-05,1.3965182e-06,1.04215e-06,3.1851232e-07,5.1268144e-05,1.1593802e-06,0.00032727327
L621,1.447188e-07,1.0419899e-07,2.3379107e-07,1.6113991e-06,1.5593105e-07,3.3556717e-08,3.923924e-08,2.2241875e-07,6.103073e-08,1.566812e-06
L622,1.2138044e-06,8.7349326e-07,1.9590952e-06,1.3504032e-05,1.3074314e-06,2.8099748e-07,3.2858225e-07,1.8621213e-06,5.113834e-07,0.00021288874
L643,1.2286764e-06,7.596391e-07,1.527631e-06,1.1084077e-05,1.1252705e-06,2.5195186e-07,2.879533e-07,1.2583914e-06,4.3504406e-07,
L656,2.1419692e-07,1.4307443e-07,2.1930464e-07,1.3323515e-06,2.0765583e-07,5.1077222e-08,5.2416e-08,9.3568815e-08,7.9890015e-08,1.2906894e-06
L676,1.1820521e-07,2.6178895e-08,4.7613867e-08,2.5544432e-07,4.164758e-08,1.24418875e-08,1.0666554e-08,1.6385457e-08,1.6632839e-08,
L685,6.9954694e-08,1.8117134e-09,1.5279511e-10,5.9335434e-09,4.3655746e-10,4.8748916e-10,1.8189894e-11,8.112693e-10,7.275958e-12,2.3384928e-08
L726,2.780871e-08,1.09139364e-10,1.70985e-10,9.931682e-10,1.5643309e-10,4.0017767e-11,4.0017767e-11,7.2759576e-11,6.184564e-11,9.640644e-10
L762,2.613e-06,5.2327523e-06,1.6146223e-06,6.093702e-06,1.7741113e-06,3.289897e-07,2.473127e-06,6.8708323e-07,5.5966666e-07,3.210688e-05
L763,7.486771e-06,4.9037335e-06,7.967319e-07,1.6570266e-07,8.60382e-07,2.1749293e-07,2.0674488e-06,3.7766586e-07,1.9420986e-07,3.9842285e-05
L773,6.295013e-05,1.329754e-06,1.5086844e-06,2.4224573e-06,1.6026024e-06,4.7127833e-07,4.855712e-06,7.484923e-07,2.833549e-07,
L774,6.568298e-07,4.0813757e-07,6.0297316e-07,4.390764e-06,6.753253e-07,8.256757e-08,2.9765943e-07,2.283341e-07,2.701854e-07,
L78,1.1641532e-10,9.822543e-11,1.5643309e-10,1.1168595e-09,1.5279511e-10,2.5465852e-11,3.274181e-11,6.184564e-11,6.184564e-11,1.1277734e-09
L781,6.1261817e-06,4.0508457e-06,4.2608008e-07,8.705538e-06,5.0576637e-07,5.128095e-08,1.4646794e-06,8.469215e-08,3.5268022e-07,7.429626e-06
L803,4.0496525e-07,2.544548e-07,3.8008147e-07,2.7898932e-06,4.2495958e-07,5.0873496e-08,1.7532147e-07,1.4329271e-07,1.7111597e-07,3.6763086e-06
L84,2.4309702e-07,2.1393498e-07,3.0860247e-07,2.5884656e-06,2.9985677e-07,5.694892e-08,6.916525e-08,1.4693069e-07,1.1917291e-07,2.2306704e-06
L85,4.5713386e-07,4.022586e-07,5.803013e-07,4.867252e-06,5.638285e-07,1.07087544e-07,1.3005047e-07,2.7628266e-07,2.240995e-07,4.1944586e-06
L88,2.8384966e-06,2.4923356e-06,3.5878038e-06,0.0006420879,5.1363895e-07,9.7512384e-08,1.18336175e-07,2.5150075e-07,2.0413427e-07,0.00011535053
L905,1.2732926e-10,8.0035534e-11,1.4188117e-10,9.640644e-10,1.4915713e-10,1.4551915e-11,3.6379788e-11,5.4569682e-11,6.548362e-11,
L909,3.6773272e-06,0.0003740004,0.00012227718,7.1806135e-06,4.6642963e-06,2.5689718e-05,1.3216282e-05,1.8973486e-05,2.548797e-06,0.00012766302
L918,2.5265035e-06,3.236055e-07,1.2178498e-06,1.0049174e-05,1.7192506e-06,3.6371057e-07,2.6397174e-07,4.5396155e-07,4.383619e-07,
L953,3.4584664e-06,4.368805e-06,,,,,,,,
L1312,5.0257513e-06,2.8575596e-07,4.440255e-06,7.765877e-06,2.1302258e-06,2.4100445e-06,1.2209057e-06,3.3881515e-06,4.603353e-07,1.782339e-05
L1333,4.892121e-06,5.917484e-05,8.358271e-06,8.715666e-05,3.0617754e-05,2.6095659e-06,1.2941891e-06,4.3187174e-06,1.5812111e-06,4.50387e-05
L1369,7.902767e-06,2.8293289e-06,0.00013635305,1.4377292e-08,4.802132e-09,5.820766e-09,7.436029e-08,2.4738256e-09,1.3117096e-07,
L1370,4.0661544e-06,1.5111873e-06,0.00012792216,3.9464794e-08,1.3154931e-08,1.5890691e-08,2.317829e-07,6.7520887e-09,6.344635e-09,7.162348e-05
L1378,5.675247e-09,8.766947e-07,3.1223317e-06,1.09066605e-08,3.623427e-09,4.3874024e-09,5.7661964e-08,1.8553692e-09,7.907511e-08,1.3848985e-06
L1383,2.1973392e-09,2.1620071e-06,5.76413e-06,2.6338967e-08,8.731149e-09,1.05501385e-08,1.3910176e-07,4.5256456e-09,1.9244908e-07,
L1384,8.090865e-08,0.0001018031,0.00013708137,7.631024e-08,2.537854e-08,3.0675437e-08,1.7537968e-06,1.3038516e-08,1.0533957e-05,1.98395e-06
L1385,1.0849908e-06,5.3360127e-06,0.00023705896,1.1478551e-07,3.8184226e-08,4.5984052e-08,7.349299e-07,1.9441359e-08,8.4599014e-07,0.00013066933
L1386,1.165783e-06,0.00010713865,0.00037413952,1.9115396e-07,6.3795596e-08,7.683411e-08,2.4887268e-06,3.259629e-08,1.13798305e-05,0.00013265293
L1388,7.869676e-07,0.00016694167,0.00027319673,1.5087426e-07,5.0175004e-08,6.065238e-08,3.476278e-06,2.5844201e-08,1.7554034e-05,0.00014775642
L1395,1.6647391e-08,8.8357774e-07,5.607304e-06,1.1466909e-08,3.812602e-09,4.612957e-09,6.069604e-08,1.9645086e-09,8.3091436e-08,1.5161932e-06
L1400,9.313226e-09,4.756439e-07,3.1790856e-05,1.0346412e-08,3.448804e-09,4.1618478e-09,5.486072e-08,1.8044375e-09,7.529161e-08,4.277972e-07
L1404,8.811185e-09,4.870308e-07,2.7253402e-05,1.8335413e-09,5.9299055e-10,7.3123374e-10,9.62973e-09,2.764864e-10,1.2980308e-08,1.1931625e-06
L1405,1.0521035e-08,5.5888813e-07,2.6228881e-06,7.072231e-09,2.3501343e-09,2.8376235e-09,3.7434802e-08,1.207809e-09,5.1230018e-08,9.4397546e-07
L1407,1.19325705e-08,6.3402695e-07,2.965593e-06,8.010829e-09,2.6557245e-09,3.2232492e-09,4.244066e-08,1.36788e-09,5.8105798e-08,
L1418,1.573062e-08,8.3793566e-07,7.528368e-06,1.0913936e-08,3.6598067e-09,4.3874024e-09,5.7611032e-08,1.891749e-09,7.910421e-08,2.309549e-06
L142,4.5289635e-06,2.4250476e-06,1.8777209e-06,0.00018345541,1.5168334e-06,1.7519342e-06,2.9583462e-06,6.65884e-06,8.774805e-07,
